"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 14","59.65","59.59","59.94","59.52","3.52M","0.47%"
"2024- 05- 13","59.37","59.50","59.91","59.23","1.72M","-0.08%"
"2024- 05- 10","59.42","59.78","60.13","59.28","2.55M","-0.05%"
"2024- 05- 09","59.45","58.82","59.59","58.78","3.33M","1.40%"
"2024- 05- 08","58.63","58.05","59.30","57.95","4.10M","0.50%"
"2024- 05- 07","58.34","57.56","59.12","57.37","5.25M","1.74%"
"2024- 05- 06","57.34","57.26","57.34","56.72","3.35M","0.56%"
"2024- 05- 03","57.02","57.15","57.40","56.75","1.92M","0.33%"
"2024- 05- 02","56.83","57.52","57.73","56.39","4.43M","-0.75%"
"2024- 05- 01","57.26","57.04","57.95","56.44","4.23M","0.63%"
"2024- 04- 30","56.90","57.38","57.94","56.89","3.74M","-1.56%"
"2024- 04- 29","57.80","57.24","57.81","57.17","4.24M","0.87%"
"2024- 04- 26","57.30","57.74","58.16","57.15","4.66M","1.52%"
"2024- 04- 25","56.44","57.74","57.74","55.38","6.12M","-0.95%"
"2024- 04- 24","56.98","56.39","57.22","56.39","4.04M","0.44%"
"2024- 04- 23","56.73","56.65","57.10","56.46","2.38M","-0.46%"
"2024- 04- 22","56.99","56.87","57.29","56.28","3.18M","0.58%"
"2024- 04- 19","56.66","56.43","56.92","56.31","2.51M","0.25%"
"2024- 04- 18","56.52","57.27","57.28","56.04","2.93M","-0.53%"
"2024- 04- 17","56.82","57.17","57.34","56.67","2.30M","-0.09%"
"2024- 04- 16","56.87","56.98","57.12","56.64","2.61M","-0.77%"
"2024- 04- 15","57.31","58.37","58.67","56.91","2.87M","-0.68%"
"2024- 04- 12","57.70","58.09","58.62","57.56","2.92M","-1.28%"
"2024- 04- 11","58.45","58.92","58.92","58.30","2.73M","-0.68%"
"2024- 04- 10","58.85","59.15","59.64","58.37","4.25M","-1.70%"
"2024- 04- 09","59.87","60.02","60.24","59.48","3.57M","0.55%"
"2024- 04- 08","59.54","59.99","60.19","59.15","2.88M","-0.25%"
"2024- 04- 05","59.69","59.84","59.90","59.09","3.86M","-0.28%"
"2024- 04- 04","59.86","60.33","60.69","59.65","5.38M","-0.22%"
"2024- 04- 03","59.99","59.56","60.28","59.49","4.94M","1.18%"
"2024- 04- 02","59.29","58.56","59.37","58.01","6.33M","1.77%"
"2024- 04- 01","58.26","57.88","58.34","57.41","3.83M","0.57%"
"2024- 03- 28","57.93","58.28","58.42","57.80","4.06M","-0.36%"
"2024- 03- 27","58.14","57.56","58.14","57.45","5.13M","1.87%"
"2024- 03- 26","57.07","57.66","57.66","57.07","3.62M","-0.56%"
"2024- 03- 25","57.39","57.71","57.83","57.28","3.42M","-0.50%"
"2024- 03- 22","57.68","57.93","58.20","57.58","2.47M","-0.40%"
"2024- 03- 21","57.91","58.45","58.58","57.56","4.77M","-0.45%"
"2024- 03- 20","58.17","56.57","58.71","56.38","7.77M","2.48%"
"2024- 03- 19","56.76","56.71","57.05","56.42","6.78M","0.04%"
"2024- 03- 18","56.74","57.40","57.41","56.56","7.38M","-0.53%"
"2024- 03- 15","57.04","57.35","57.80","56.94","20.60M","-0.49%"
"2024- 03- 14","57.32","57.66","57.91","56.92","6.85M","-1.12%"
"2024- 03- 13","57.97","57.86","58.74","57.60","7.63M","0.50%"
"2024- 03- 12","57.68","57.64","57.86","57.16","4.05M","0.44%"
"2024- 03- 11","57.43","56.69","57.79","56.55","4.44M","1.45%"
"2024- 03- 08","56.61","57.10","57.69","56.57","4.72M","-0.58%"
"2024- 03- 07","56.94","57.37","57.65","56.56","4.57M","0.14%"
"2024- 03- 06","56.86","57.95","58.10","56.35","4.83M","-0.21%"
"2024- 03- 05","56.98","56.62","57.74","56.62","6.03M","-0.07%"
"2024- 03- 04","57.02","55.53","57.16","55.48","7.02M","2.24%"
"2024- 03- 01","55.77","55.87","56.23","55.61","4.65M","-0.20%"
"2024- 02- 29","55.88","55.19","56.04","54.97","6.72M","1.42%"
"2024- 02- 28","55.10","55.47","55.69","55.01","4.43M","-2.08%"
"2024- 02- 27","56.27","56.37","56.56","55.95","3.89M","0.36%"
"2024- 02- 26","56.07","56.14","56.48","55.85","3.74M","-0.57%"
"2024- 02- 23","56.39","56.03","56.82","56.00","4.41M","0.70%"
"2024- 02- 22","56.00","55.75","56.19","55.66","5.08M","0.45%"
"2024- 02- 21","55.75","54.84","55.83","54.76","3.92M","1.90%"
"2024- 02- 20","54.71","54.79","55.45","54.45","4.49M","-1.39%"
"2024- 02- 16","55.48","55.13","55.96","54.96","5.06M","0.56%"
"2024- 02- 15","55.17","53.91","55.38","53.84","4.41M","2.97%"
"2024- 02- 14","53.58","53.49","53.89","53.23","3.65M","0.75%"
"2024- 02- 13","53.18","54.00","54.27","52.60","5.05M","-2.94%"
"2024- 02- 12","54.79","54.00","55.28","53.85","5.13M","1.48%"
"2024- 02- 09","53.99","53.79","54.12","53.56","3.90M","0.20%"
"2024- 02- 08","53.88","54.17","54.20","53.50","3.55M","-0.39%"
"2024- 02- 07","54.09","54.25","54.39","53.70","3.36M","0.09%"
"2024- 02- 06","54.04","53.22","54.15","53.05","5.21M","1.66%"
"2024- 02- 05","53.16","52.54","53.54","52.36","5.20M","-0.49%"
"2024- 02- 02","53.42","53.09","53.76","52.49","5.72M","-0.22%"
"2024- 02- 01","53.54","53.91","54.01","52.67","5.04M","-0.11%"
"2024- 01- 31","53.60","54.50","54.56","53.58","5.47M","-1.60%"
"2024- 01- 30","54.47","53.60","54.53","53.50","4.58M","0.74%"
"2024- 01- 29","54.07","54.17","54.22","53.41","3.73M","0.02%"
"2024- 01- 26","54.06","55.00","55.29","53.76","5.24M","-1.60%"
"2024- 01- 25","54.94","54.76","55.13","53.77","7.21M","3.48%"
"2024- 01- 24","53.09","53.72","54.13","53.03","5.73M","-1.52%"
"2024- 01- 23","53.91","54.00","54.46","53.74","4.67M","0.65%"
"2024- 01- 22","53.56","52.72","53.62","52.55","5.59M","1.42%"
"2024- 01- 19","52.81","52.69","53.00","52.12","4.17M","0.40%"
"2024- 01- 18","52.60","52.58","52.73","52.10","4.16M","0.25%"
"2024- 01- 17","52.47","52.33","52.62","52.04","3.47M","-1.19%"
"2024- 01- 16","53.10","53.37","53.39","52.27","5.90M","-0.51%"
"2024- 01- 12","53.37","54.02","54.16","53.01","3.67M","-0.50%"
"2024- 01- 11","53.64","53.24","53.67","52.74","4.47M","0.49%"
"2024- 01- 10","53.38","53.65","53.93","53.04","4.05M","-1.04%"
"2024- 01- 09","53.94","54.59","54.59","53.78","4.28M","-2.07%"
"2024- 01- 08","55.08","54.68","55.14","54.39","3.90M","0.47%"
"2024- 01- 05","54.82","54.03","55.03","53.98","3.80M","1.16%"
"2024- 01- 04","54.19","54.60","54.99","54.04","4.45M","-0.81%"
"2024- 01- 03","54.63","54.85","55.08","53.95","4.11M","-1.27%"
"2024- 01- 02","55.33","54.74","55.68","54.58","3.53M","0.89%"
"2023- 12- 29","54.84","55.10","55.26","54.68","2.27M","-0.71%"
"2023- 12- 28","55.23","55.59","55.70","55.16","2.17M","-0.86%"
"2023- 12- 27","55.71","55.69","55.86","55.47","2.54M","0.00%"
"2023- 12- 26","55.71","55.21","55.90","55.12","2.26M","1.07%"
"2023- 12- 22","55.12","55.09","55.66","54.85","2.34M","0.27%"
"2023- 12- 21","54.97","55.01","55.20","54.48","2.65M","0.71%"
"2023- 12- 20","54.58","54.78","55.35","54.57","4.73M","-0.62%"
"2023- 12- 19","54.92","54.47","55.02","54.40","3.69M","1.24%"
"2023- 12- 18","54.25","54.75","54.83","54.00","3.22M","0.02%"
"2023- 12- 15","54.24","53.56","54.38","53.12","9.91M","0.02%"
"2023- 12- 14","54.23","52.88","54.45","52.75","7.87M","3.63%"
"2023- 12- 13","52.33","50.55","52.40","50.46","4.69M","2.97%"
"2023- 12- 12","50.82","51.28","51.36","50.59","4.33M","-0.90%"
"2023- 12- 11","51.28","50.87","51.52","50.76","3.55M","0.71%"
"2023- 12- 08","50.92","51.04","51.78","50.90","3.66M","-0.29%"
"2023- 12- 07","51.07","51.11","51.27","50.62","2.82M","0.35%"
"2023- 12- 06","50.89","51.44","51.73","50.77","3.53M","-0.49%"
"2023- 12- 05","51.14","51.74","51.85","50.97","4.55M","-1.84%"
"2023- 12- 04","52.10","52.27","52.77","51.97","6.01M","-0.38%"
"2023- 12- 01","52.30","51.80","52.62","51.57","4.27M","1.06%"
"2023- 11- 30","51.75","51.50","51.88","51.23","4.57M","0.82%"
"2023- 11- 29","51.33","50.99","51.97","50.97","3.54M","-0.70%"
"2023- 11- 28","51.69","51.20","51.97","50.60","6.37M","1.12%"
"2023- 11- 27","51.12","51.40","51.60","51.02","3.89M","-1.06%"
"2023- 11- 24","51.67","51.56","51.94","51.45","1.68M","0.53%"
"2023- 11- 22","51.40","51.75","51.78","51.10","3.14M","-0.64%"
"2023- 11- 21","51.73","51.69","51.85","51.46","2.84M","0.10%"
"2023- 11- 20","51.68","51.67","51.89","51.36","3.75M","-0.04%"
"2023- 11- 17","51.70","51.88","51.88","51.25","3.31M","0.51%"
"2023- 11- 16","51.44","51.47","51.65","50.87","5.03M","-0.17%"
"2023- 11- 15","51.53","51.19","51.90","50.87","5.03M","0.94%"
"2023- 11- 14","51.05","50.00","51.49","49.93","4.85M","3.68%"
"2023- 11- 13","49.24","49.13","49.52","48.90","3.16M","-0.49%"
"2023- 11- 10","49.48","48.54","49.68","48.51","3.83M","2.32%"
"2023- 11- 09","48.36","48.75","48.78","48.24","3.34M","0.12%"
"2023- 11- 08","48.30","48.54","48.62","47.78","4.10M","-0.47%"
"2023- 11- 07","48.53","48.71","48.87","48.24","5.17M","-1.64%"
"2023- 11- 06","49.34","49.73","49.80","49.14","3.64M","-0.78%"
"2023- 11- 03","49.73","49.44","50.08","49.44","3.74M","1.51%"
"2023- 11- 02","48.99","48.58","49.09","48.51","3.72M","1.62%"
"2023- 11- 01","48.21","48.24","48.42","47.60","4.69M","-0.27%"
"2023- 10- 31","48.34","48.39","48.79","48.11","4.66M","0.00%"
"2023- 10- 30","48.34","48.66","49.05","47.99","3.69M","0.48%"
"2023- 10- 27","48.11","48.02","48.54","47.84","4.71M","0.19%"
"2023- 10- 26","48.02","47.40","48.28","47.40","6.20M","1.01%"
"2023- 10- 25","47.54","48.93","49.03","47.26","4.84M","-3.45%"
"2023- 10- 24","49.24","48.43","49.72","48.00","5.51M","2.07%"
"2023- 10- 23","48.24","48.77","48.90","48.13","5.59M","-1.53%"
"2023- 10- 20","48.99","49.48","49.57","48.92","3.91M","-0.93%"
"2023- 10- 19","49.45","49.80","50.29","49.38","3.75M","-1.26%"
"2023- 10- 18","50.08","50.39","50.83","49.93","3.49M","-1.28%"
"2023- 10- 17","50.73","49.75","51.03","49.73","3.31M","1.08%"
"2023- 10- 16","50.19","50.33","50.53","49.79","2.78M","0.92%"
"2023- 10- 13","49.73","50.56","50.71","49.61","3.66M","-1.03%"
"2023- 10- 12","50.25","51.31","51.31","49.75","2.99M","-1.26%"
"2023- 10- 11","50.89","51.10","51.51","50.51","3.05M","-0.82%"
"2023- 10- 10","51.31","51.13","51.81","51.06","2.91M","0.98%"
"2023- 10- 09","50.81","50.28","50.90","49.94","3.33M","1.05%"
"2023- 10- 06","50.28","49.77","50.92","49.53","4.20M","0.84%"
"2023- 10- 05","49.86","50.79","51.15","49.74","5.14M","-2.45%"
"2023- 10- 04","51.11","51.48","51.48","50.21","4.73M","0.18%"
"2023- 10- 03","51.02","50.95","52.05","50.89","5.18M","-0.55%"
"2023- 10- 02","51.30","51.29","51.66","50.74","4.69M","-0.50%"
"2023- 09- 29","51.56","51.34","51.77","51.19","4.23M","1.24%"
"2023- 09- 28","50.93","50.96","51.18","50.52","3.97M","-0.14%"
"2023- 09- 27","51.00","50.85","51.36","50.61","3.05M","1.03%"
"2023- 09- 26","50.48","50.53","51.26","50.35","3.44M","-1.19%"
"2023- 09- 25","51.09","50.80","51.35","50.44","4.33M","1.67%"
"2023- 09- 22","50.25","51.10","51.25","50.08","4.47M","-1.47%"
"2023- 09- 21","51.00","52.05","52.33","50.98","4.36M","-2.78%"
"2023- 09- 20","52.46","52.96","53.49","52.43","2.30M","-0.83%"
"2023- 09- 19","52.90","53.44","53.73","52.35","3.80M","-0.90%"
"2023- 09- 18","53.38","53.82","53.95","53.24","4.58M","-0.85%"
"2023- 09- 15","53.84","54.04","54.11","53.62","7.46M","-0.37%"
"2023- 09- 14","54.04","53.40","54.23","53.29","4.60M","2.31%"
"2023- 09- 13","52.82","53.66","53.81","52.58","3.08M","-1.51%"
"2023- 09- 12","53.63","53.67","54.22","53.46","2.41M","-0.07%"
"2023- 09- 11","53.67","54.14","54.89","53.62","3.32M","-0.07%"
"2023- 09- 08","53.71","54.31","54.78","53.60","3.99M","-0.72%"
"2023- 09- 07","54.10","54.75","54.94","53.52","4.27M","-1.44%"
"2023- 09- 06","54.89","53.96","54.93","53.92","4.64M","1.29%"
"2023- 09- 05","54.19","55.18","55.40","53.99","4.91M","-1.99%"
"2023- 09- 01","55.29","55.03","55.56","54.76","4.34M","1.34%"
"2023- 08- 31","54.56","54.64","54.90","54.52","4.08M","-0.35%"
"2023- 08- 30","54.75","54.56","54.90","54.34","3.47M","-0.89%"
"2023- 08- 29","55.24","54.79","55.28","54.49","3.79M","1.17%"
"2023- 08- 28","54.60","54.16","54.88","54.15","3.43M","1.15%"
"2023- 08- 25","53.98","53.98","54.38","53.65","3.28M","0.82%"
"2023- 08- 24","53.54","53.00","53.89","53.00","3.20M","0.26%"
"2023- 08- 23","53.40","53.65","53.95","52.81","3.39M","-0.73%"
"2023- 08- 22","53.79","54.30","54.48","53.53","2.75M","-0.70%"
"2023- 08- 21","54.17","54.25","54.40","53.82","3.11M","0.28%"
"2023- 08- 18","54.02","53.76","54.13","53.44","2.92M","0.30%"
"2023- 08- 17","53.86","53.77","54.66","53.70","3.61M","1.01%"
"2023- 08- 16","53.32","53.19","53.76","53.09","3.49M","-0.39%"
"2023- 08- 15","53.53","54.70","55.17","53.42","5.28M","-3.34%"
"2023- 08- 14","55.38","55.34","55.54","54.82","3.63M","-0.13%"
"2023- 08- 11","55.45","55.70","55.99","55.27","4.55M","-0.95%"
"2023- 08- 10","55.98","55.90","56.23","55.62","5.14M","0.79%"
"2023- 08- 09","55.54","55.42","56.03","54.86","4.62M","0.96%"
"2023- 08- 08","55.01","54.72","55.12","54.26","3.61M","-0.92%"
"2023- 08- 07","55.52","54.87","55.82","54.84","3.26M","1.85%"
"2023- 08- 04","54.51","54.96","55.45","54.44","3.63M","-0.71%"
"2023- 08- 03","54.90","54.36","55.73","54.36","4.45M","0.37%"
"2023- 08- 02","54.70","55.06","55.49","54.67","4.50M","-1.94%"
"2023- 08- 01","55.78","56.25","56.42","55.54","5.56M","-1.22%"
"2023- 07- 31","56.47","55.53","56.49","55.45","6.37M","1.82%"
"2023- 07- 28","55.46","55.46","55.87","55.15","4.56M","0.95%"
"2023- 07- 27","54.94","54.10","55.03","53.80","8.08M","2.31%"
"2023- 07- 26","53.70","53.25","53.96","53.20","7.58M","0.41%"
"2023- 07- 25","53.48","52.94","55.15","52.85","9.08M","1.77%"
"2023- 07- 24","52.55","53.17","53.36","52.26","6.69M","-0.94%"
"2023- 07- 21","53.05","53.10","53.18","52.60","4.10M","0.00%"
"2023- 07- 20","53.05","53.32","53.34","52.60","3.75M","0.44%"
"2023- 07- 19","52.82","52.84","53.04","52.53","3.71M","-0.30%"
"2023- 07- 18","52.98","52.43","53.35","52.38","4.79M","1.05%"
"2023- 07- 17","52.43","52.54","52.69","52.17","4.30M","-0.93%"
"2023- 07- 14","52.92","54.01","54.06","52.75","3.88M","-2.38%"
"2023- 07- 13","54.21","54.19","54.45","53.80","3.29M","0.18%"
"2023- 07- 12","54.11","54.36","54.66","53.17","5.98M","1.29%"
"2023- 07- 11","53.42","53.50","53.90","53.37","3.47M","0.28%"
"2023- 07- 10","53.27","52.77","53.67","52.67","3.66M","0.32%"
"2023- 07- 07","53.10","52.42","53.94","52.32","5.28M","0.63%"
"2023- 07- 06","52.77","52.29","52.88","51.76","5.28M","-0.13%"
"2023- 07- 05","52.84","53.18","53.44","52.52","5.78M","-1.75%"
"2023- 07- 03","53.78","53.31","53.99","53.23","2.23M","0.98%"
"2023- 06- 30","53.26","53.58","53.59","52.99","4.16M","0.04%"
"2023- 06- 29","53.24","52.95","53.37","52.69","2.56M","0.53%"
"2023- 06- 28","52.96","52.57","52.97","51.87","3.36M","0.74%"
"2023- 06- 27","52.57","51.93","52.62","51.62","3.18M","1.19%"
"2023- 06- 26","51.95","51.43","52.22","51.30","3.07M","1.15%"
"2023- 06- 23","51.36","50.73","51.50","50.26","3.70M","-0.06%"
"2023- 06- 22","51.39","50.42","51.49","50.20","4.73M","-0.94%"
"2023- 06- 21","51.88","51.68","52.49","51.26","3.59M","-0.08%"
"2023- 06- 20","51.92","52.32","52.44","51.24","5.08M","-2.33%"
"2023- 06- 16","53.16","53.30","53.31","52.60","9.54M","-0.60%"
"2023- 06- 15","53.48","52.74","53.74","52.58","3.27M","1.27%"
"2023- 06- 14","52.81","53.56","53.86","52.51","3.30M","-0.62%"
"2023- 06- 13","53.14","52.15","53.55","51.98","4.27M","2.59%"
"2023- 06- 12","51.80","51.80","52.31","51.36","3.89M","0.12%"
"2023- 06- 09","51.74","52.42","52.68","51.63","5.46M","-1.97%"
"2023- 06- 08","52.78","54.11","54.34","52.25","5.07M","-2.02%"
"2023- 06- 07","53.87","52.82","53.95","52.72","6.45M","2.43%"
"2023- 06- 06","52.59","51.11","52.88","51.07","7.27M","2.12%"
"2023- 06- 05","51.50","51.69","52.37","51.47","5.47M","-0.21%"
"2023- 06- 02","51.61","50.11","51.68","50.01","7.69M","5.33%"
"2023- 06- 01","49.00","49.00","49.35","48.51","4.46M","0.45%"
"2023- 05- 31","48.78","49.13","49.37","48.34","8.39M","-1.45%"
"2023- 05- 30","49.50","49.53","49.74","48.90","4.83M","-1.67%"
"2023- 05- 26","50.34","50.73","50.79","50.25","3.51M","-0.06%"
"2023- 05- 25","50.37","51.00","51.12","49.97","4.23M","-1.85%"
"2023- 05- 24","51.32","52.11","52.11","51.19","3.15M","-1.23%"
"2023- 05- 23","51.96","51.77","52.32","51.45","3.61M","0.37%"
"2023- 05- 22","51.77","52.02","52.21","51.54","3.48M","-0.35%"
"2023- 05- 19","51.95","52.25","52.34","51.61","3.75M","0.15%"
"2023- 05- 18","51.87","51.23","52.01","50.85","4.45M","0.76%"
"2023- 05- 17","51.48","51.32","51.84","51.09","4.78M","0.82%"
"2023- 05- 16","51.06","52.01","52.10","50.98","4.61M","-2.30%"
"2023- 05- 15","52.26","52.62","52.66","51.75","3.77M","-0.10%"
"2023- 05- 12","52.31","52.55","52.74","52.06","3.26M","-0.06%"
"2023- 05- 11","52.34","53.00","53.01","51.94","5.50M","-2.08%"
"2023- 05- 10","53.45","54.28","54.58","52.85","3.89M","-0.41%"
"2023- 05- 09","53.67","53.89","53.94","53.47","3.29M","-0.89%"
"2023- 05- 08","54.15","54.42","54.91","54.01","2.73M","-0.48%"
"2023- 05- 05","54.41","54.26","54.58","53.83","4.15M","1.97%"
"2023- 05- 04","53.36","52.90","53.41","52.27","3.90M","0.68%"
"2023- 05- 03","53.00","53.75","54.17","52.91","3.34M","-1.45%"
"2023- 05- 02","53.78","53.50","53.89","52.58","4.21M","-0.61%"
"2023- 05- 01","54.11","54.46","54.62","53.83","4.01M","-0.53%"
"2023- 04- 28","54.40","53.24","54.91","53.17","6.01M","1.68%"
"2023- 04- 27","53.50","52.64","53.52","52.35","3.91M","1.75%"
"2023- 04- 26","52.58","52.27","53.15","52.21","5.95M","0.15%"
"2023- 04- 25","52.50","54.46","55.00","52.50","8.37M","-5.22%"
"2023- 04- 24","55.39","55.14","55.40","54.78","5.04M","0.95%"
"2023- 04- 21","54.87","55.36","55.48","54.71","4.18M","-1.49%"
"2023- 04- 20","55.70","55.80","56.17","55.37","3.33M","-1.31%"
"2023- 04- 19","56.44","56.40","56.59","55.84","3.83M","-0.60%"
