"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 13","60.62","60.90","61.62","60.54","1.87M","-0.07%"
"2024- 05- 10","60.66","60.27","60.71","60.06","1.76M","0.80%"
"2024- 05- 09","60.18","59.90","60.33","59.81","1.92M","0.45%"
"2024- 05- 08","59.91","60.26","60.44","59.36","2.58M","-1.63%"
"2024- 05- 07","60.90","60.26","62.22","60.81","2.48M","-1.18%"
"2024- 05- 06","61.63","61.06","61.63","60.66","2.24M","1.20%"
"2024- 05- 03","60.90","60.54","61.13","59.73","2.37M","1.38%"
"2024- 05- 02","60.07","60.16","60.20","59.38","3.35M","0.32%"
"2024- 05- 01","59.88","59.89","60.51","59.55","2.79M","0.05%"
"2024- 04- 30","59.85","59.95","60.13","59.66","2.76M","-0.38%"
"2024- 04- 29","60.08","60.00","60.87","59.74","3.60M","-0.07%"
"2024- 04- 26","60.12","59.64","60.63","59.40","4.79M","-0.28%"
"2024- 04- 25","60.29","59.21","60.38","58.10","7.78M","-1.97%"
"2024- 04- 24","61.50","60.72","61.57","60.61","2.89M","0.67%"
"2024- 04- 23","61.09","61.07","61.51","60.94","2.28M","-0.18%"
"2024- 04- 22","61.20","60.81","61.32","60.53","2.12M","1.41%"
"2024- 04- 19","60.35","60.53","60.56","59.95","3.08M","0.47%"
"2024- 04- 18","60.07","60.43","60.50","59.89","2.35M","0.10%"
"2024- 04- 17","60.01","60.68","60.72","59.91","2.82M","-0.03%"
"2024- 04- 16","60.03","60.35","60.50","59.73","2.83M","-0.27%"
"2024- 04- 15","60.19","60.35","62.32","60.00","3.17M","-2.16%"
"2024- 04- 12","61.52","62.69","62.82","61.01","4.15M","-2.44%"
"2024- 04- 11","63.06","63.33","63.35","62.38","3.72M","0.08%"
"2024- 04- 10","63.01","62.82","63.60","62.22","2.68M","-0.87%"
"2024- 04- 09","63.56","63.73","64.25","62.61","4.49M","2.29%"
"2024- 04- 08","62.14","62.32","62.49","61.86","2.45M","0.16%"
"2024- 04- 05","62.04","61.05","62.06","60.92","1.93M","1.60%"
"2024- 04- 04","61.06","62.00","62.40","60.84","2.09M","-0.84%"
"2024- 04- 03","61.58","61.40","61.99","61.30","2.25M","0.41%"
"2024- 04- 02","61.33","61.75","61.81","60.87","3.22M","-1.54%"
"2024- 04- 01","62.29","62.97","63.04","62.21","2.29M","-1.28%"
"2024- 03- 28","63.10","63.51","63.52","62.82","2.79M","0.16%"
"2024- 03- 27","63.00","62.59","63.08","62.13","3.04M","1.24%"
"2024- 03- 26","62.23","62.16","62.85","61.95","4.48M","1.92%"
"2024- 03- 25","61.06","61.51","61.82","61.01","2.20M","-0.92%"
