"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 13","520.95","522.65","522.65","519.74","33.17M","0.00%"
"2024- 05- 10","520.95","521.81","522.60","519.60","41.37M","0.15%"
"2024- 05- 09","520.17","517.38","520.21","516.71","43.64M","0.58%"
"2024- 05- 08","517.19","515.26","517.74","515.14","42.05M","-0.03%"
"2024- 05- 07","517.34","517.56","518.56","516.47","44.43M","0.15%"
"2024- 05- 06","516.55","513.77","516.55","513.32","42.19M","1.03%"
"2024- 05- 03","511.29","511.16","512.55","508.56","72.76M","1.24%"
"2024- 05- 02","505.03","504.15","505.89","499.55","61.55M","0.94%"
"2024- 05- 01","500.35","501.38","508.19","499.86","79.40M","-0.32%"
"2024- 04- 30","501.98","508.56","509.56","501.98","76.56M","-1.58%"
"2024- 04- 29","510.06","510.09","510.75","507.25","46.42M","0.35%"
"2024- 04- 26","508.26","506.35","509.88","505.70","63.31M","0.95%"
"2024- 04- 25","503.49","499.18","504.27","497.49","67.52M","-0.38%"
"2024- 04- 24","505.41","506.56","507.37","503.13","55.11M","-0.05%"
"2024- 04- 23","505.65","501.78","506.09","499.53","63.99M","1.19%"
"2024- 04- 22","499.72","497.83","502.38","495.43","67.30M","0.92%"
"2024- 04- 19","495.16","499.44","500.45","493.86","102.21M","-0.87%"
"2024- 04- 18","499.52","501.98","504.13","498.56","73.53M","-0.21%"
"2024- 04- 17","500.55","506.05","506.22","499.12","75.14M","-0.59%"
"2024- 04- 16","503.53","504.94","506.50","502.21","72.69M","-0.18%"
"2024- 04- 15","504.45","515.13","515.30","503.58","91.13M","-1.25%"
"2024- 04- 12","510.85","514.37","515.82","509.08","92.56M","-1.38%"
"2024- 04- 11","518.00","515.68","519.48","512.08","70.10M","0.75%"
"2024- 04- 10","514.12","513.48","516.16","512.09","82.65M","-1.00%"
"2024- 04- 09","519.32","520.50","520.75","514.35","68.12M","0.12%"
"2024- 04- 08","518.72","519.15","520.18","517.89","48.40M","0.06%"
"2024- 04- 05","518.43","514.46","520.44","514.01","74.55M","1.04%"
"2024- 04- 04","513.07","523.52","523.87","512.76","96.03M","-1.22%"
"2024- 04- 03","519.41","517.72","520.95","517.66","58.58M","0.11%"
"2024- 04- 02","518.84","518.24","518.98","516.48","74.23M","-0.64%"
"2024- 04- 01","522.16","523.83","524.38","520.97","61.55M","-0.17%"
"2024- 03- 28","523.07","523.21","524.61","522.78","96.29M","-0.02%"
"2024- 03- 27","523.17","521.71","523.21","519.48","80.91M","0.84%"
"2024- 03- 26","518.81","521.23","521.58","518.40","65.46M","-0.18%"
"2024- 03- 25","519.77","519.80","520.95","519.61","48.51M","-0.28%"
"2024- 03- 22","521.21","522.11","522.60","520.97","75.29M","-0.19%"
"2024- 03- 21","522.20","523.39","524.11","521.91","59.73M","0.33%"
"2024- 03- 20","520.48","515.77","520.62","515.08","69.59M","0.92%"
"2024- 03- 19","515.71","512.15","515.99","511.12","60.45M","0.56%"
"2024- 03- 18","512.86","514.00","515.48","512.44","87.13M","0.59%"
"2024- 03- 15","509.83","510.21","511.70","508.12","106.80M","-0.99%"
"2024- 03- 14","514.95","516.97","517.13","511.82","104.58M","-0.20%"
"2024- 03- 13","515.97","517.11","517.29","514.49","54.70M","-0.16%"
"2024- 03- 12","516.78","513.45","517.38","510.86","72.47M","1.08%"
"2024- 03- 11","511.28","510.48","511.88","508.50","62.56M","-0.09%"
"2024- 03- 08","511.72","515.46","518.22","511.13","86.53M","-0.60%"
"2024- 03- 07","514.81","513.14","515.89","509.81","57.93M","0.99%"
"2024- 03- 06","509.75","510.55","512.07","508.42","67.38M","0.51%"
"2024- 03- 05","507.18","510.24","510.70","504.91","72.54M","-1.00%"
"2024- 03- 04","512.30","512.03","514.20","512.00","48.97M","-0.11%"
"2024- 03- 01","512.85","508.98","513.29","508.56","76.84M","0.94%"
"2024- 02- 29","508.08","508.07","509.74","505.35","82.42M","0.36%"
"2024- 02- 28","506.26","505.33","506.86","504.96","55.78M","-0.13%"
"2024- 02- 27","506.93","506.70","507.16","504.75","47.97M","0.19%"
"2024- 02- 26","505.99","508.30","508.75","505.86","49.49M","-0.37%"
"2024- 02- 23","507.85","509.27","510.13","507.10","61.32M","0.07%"
"2024- 02- 22","507.50","504.01","508.49","503.02","75.62M","2.07%"
"2024- 02- 21","497.21","495.42","497.37","493.56","57.22M","0.09%"
"2024- 02- 20","496.76","497.72","498.41","494.45","71.29M","-0.55%"
"2024- 02- 16","499.51","501.70","502.87","498.75","75.53M","-0.50%"
"2024- 02- 15","502.01","499.29","502.20","498.80","60.73M","0.69%"
"2024- 02- 14","498.57","496.79","499.07","494.40","67.71M","0.91%"
"2024- 02- 13","494.08","494.53","495.85","490.71","111.91M","-1.38%"
"2024- 02- 12","500.98","501.17","503.50","500.24","55.47M","-0.04%"
"2024- 02- 09","501.20","498.84","501.65","498.49","63.98M","0.58%"
"2024- 02- 08","498.32","498.10","498.71","497.26","51.87M","0.04%"
"2024- 02- 07","498.10","496.29","498.53","495.36","69.77M","0.83%"
"2024- 02- 06","493.98","493.52","494.32","492.05","55.92M","0.29%"
"2024- 02- 05","492.55","493.70","494.38","490.23","75.18M","-0.36%"
