"날짜","종가","시가","고가","저가","변동 %"
"2024- 05- 14","4.855","4.855","4.859","4.853","0.00%"
"2024- 05- 13","4.855","4.861","4.868","4.830","-0.13%"
"2024- 05- 12","4.861","4.863","4.863","4.861","-0.22%"
"2024- 05- 10","4.872","4.822","4.872","4.811","1.13%"
"2024- 05- 09","4.818","4.839","4.857","4.803","-0.48%"
"2024- 05- 08","4.841","4.830","4.847","4.822","0.26%"
"2024- 05- 07","4.828","4.839","4.839","4.803","-0.18%"
"2024- 05- 06","4.837","4.789","4.837","4.782","0.65%"
"2024- 05- 05","4.806","4.806","4.806","4.806","0.00%"
"2024- 05- 03","4.806","4.879","4.891","4.768","-1.54%"
"2024- 05- 02","4.881","4.966","4.975","4.875","-1.76%"
"2024- 05- 01","4.969","5.035","5.044","4.925","-1.36%"
"2024- 04- 30","5.037","4.973","5.045","4.966","1.17%"
"2024- 04- 29","4.979","4.996","4.997","4.968","-0.29%"
"2024- 04- 26","4.993","5.002","5.012","4.966","-0.12%"
"2024- 04- 25","5.000","4.927","5.027","4.896","1.39%"
"2024- 04- 24","4.931","4.912","4.952","4.908","-0.13%"
"2024- 04- 23","4.937","4.971","5.000","4.912","-0.73%"
"2024- 04- 22","4.973","4.992","5.009","4.952","-0.29%"
"2024- 04- 19","4.988","4.978","4.990","4.877","-0.05%"
"2024- 04- 18","4.990","4.934","4.995","4.911","1.14%"
"2024- 04- 17","4.934","4.989","5.001","4.915","-1.02%"
"2024- 04- 16","4.985","4.931","5.011","4.914","1.22%"
"2024- 04- 15","4.925","4.899","4.999","4.884","0.62%"
"2024- 04- 12","4.894","4.950","4.952","4.858","-1.17%"
"2024- 04- 11","4.952","4.965","5.012","4.918","-0.41%"
"2024- 04- 10","4.973","4.747","4.988","4.720","4.86%"
"2024- 04- 09","4.743","4.791","4.801","4.728","-1.05%"
"2024- 04- 08","4.793","4.757","4.795","4.755","0.89%"
"2024- 04- 05","4.751","4.647","4.755","4.639","2.26%"
"2024- 04- 04","4.645","4.668","4.700","4.635","-0.58%"
"2024- 04- 03","4.672","4.693","4.739","4.670","-0.44%"
"2024- 04- 02","4.693","4.695","4.733","4.687","-0.39%"
"2024- 04- 01","4.712","4.603","4.726","4.595","1.80%"
"2024- 03- 28","4.628","4.603","4.637","4.595","1.32%"
"2024- 03- 27","4.568","4.593","4.603","4.558","-0.54%"
"2024- 03- 26","4.593","4.587","4.618","4.572","-0.79%"
"2024- 03- 25","4.630","4.593","4.642","4.585","0.74%"
