DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,CHANGE_PERCENT
2023-01-03,23.09,23.76,22.73,22.9,-0.82%
2023-01-04,22.93,23.27,21.94,22.01,-4.01%
2023-01-05,22.2,22.92,21.97,22.46,1.17%
2023-01-06,22.69,22.9,21.0,21.13,-6.88%
2023-01-09,21.75,21.98,21.27,21.97,1.01%
2023-01-10,22.22,22.46,20.58,20.58,-7.38%
2023-01-11,20.8,21.25,20.62,21.09,1.39%
2023-01-12,21.56,21.8,18.83,18.83,-12.66%
2023-01-13,19.0,19.41,18.01,18.35,-3.42%
2023-01-16,19.44,19.63,19.41,19.49,0.26%
2023-01-17,19.89,20.22,19.21,19.36,-2.66%
2023-01-18,19.28,20.58,18.71,20.34,5.50%
2023-01-19,20.43,21.71,20.17,20.52,0.44%
2023-01-20,20.28,20.7,19.41,19.85,-2.12%
2023-01-23,20.21,20.33,19.55,19.81,-1.98%
2023-01-24,19.89,20.47,18.91,19.2,-3.47%
2023-01-25,19.56,20.9,18.99,19.08,-2.45%
2023-01-26,19.05,19.48,18.67,18.73,-1.68%
2023-01-27,18.9,19.0,17.97,18.51,-2.06%
2023-01-30,19.76,20.25,19.54,19.94,0.91%
2023-01-31,20.12,20.7,19.13,19.4,-3.58%
2023-02-01,19.62,20.04,17.7,17.87,-8.92%
2023-02-02,17.74,19.25,17.06,18.73,5.58%
2023-02-03,18.57,19.3,17.93,18.33,-1.29%
2023-02-06,19.23,19.81,19.21,19.43,1.04%
2023-02-07,19.54,19.99,18.43,18.66,-4.50%
2023-02-08,18.88,20.12,18.55,19.63,3.97%
2023-02-09,19.24,21.08,19.02,20.71,7.64%
2023-02-10,20.74,21.94,20.44,20.53,-1.01%
2023-02-13,21.66,21.69,20.33,20.34,-6.09%
2023-02-14,20.72,20.75,18.48,18.91,-8.74%
2023-02-15,19.37,19.41,18.11,18.23,-5.89%
2023-02-16,18.26,20.27,18.23,20.17,10.46%
2023-02-17,20.94,21.3,19.82,20.02,-4.39%
2023-02-20,21.06,21.28,20.96,21.23,0.81%
2023-02-21,21.8,23.34,21.8,22.87,4.91%
2023-02-22,23.03,23.63,22.02,22.29,-3.21%
2023-02-23,21.96,22.43,20.89,21.14,-3.73%
2023-02-24,21.35,22.9,21.32,21.67,1.50%
2023-02-27,21.99,22.02,20.68,20.95,-4.73%
2023-02-28,21.3,21.37,20.1,20.7,-2.82%
2023-03-01,20.39,21.32,20.22,20.58,0.93%
2023-03-02,21.41,21.42,19.55,19.59,-8.50%
2023-03-03,19.76,19.76,18.16,18.49,-6.43%
2023-03-06,19.05,19.19,18.49,18.61,-2.31%
2023-03-07,18.64,19.74,18.51,19.59,5.10%
2023-03-08,19.71,20.01,19.0,19.11,-3.04%
2023-03-09,19.33,23.14,18.88,22.61,16.97%
