COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
disney,2023-12-29,90.29,-0.12,-1
disney,2023-12-28,90.4,0.02,1
disney,2023-12-27,90.38,-0.63,-1
disney,2023-12-26,90.95,-0.08,-1
disney,2023-12-22,91.02,-1.09,-1
disney,2023-12-21,92.02,0.82,1
disney,2023-12-20,91.27,-2.83,-1
disney,2023-12-19,93.93,1.15,1
disney,2023-12-18,92.86,-0.64,-1
disney,2023-12-15,93.46,-0.51,-1
disney,2023-12-14,93.94,1.2,1
disney,2023-12-13,92.83,1.93,1
disney,2023-12-12,91.07,-1.23,-1
disney,2023-12-11,92.2,-0.67,-1
disney,2023-12-08,92.82,0.51,1
disney,2023-12-07,92.35,0.93,1
disney,2023-12-06,91.5,0.78,1
disney,2023-12-05,90.79,-1.33,-1
disney,2023-12-04,92.01,-0.62,-1
disney,2023-12-01,92.58,-0.12,-1
disney,2023-11-30,92.69,0.21,1
disney,2023-11-29,92.5,0.0,0
disney,2023-11-28,92.5,-2.81,-1
disney,2023-11-27,95.17,-0.93,-1
disney,2023-11-24,96.06,1.04,1
disney,2023-11-22,95.07,0.66,1
disney,2023-11-21,94.45,-0.61,-1
disney,2023-11-20,95.03,0.93,1
disney,2023-11-17,94.15,-0.38,-1
disney,2023-11-16,94.51,0.62,1
disney,2023-11-15,93.93,3.14,1
disney,2023-11-14,91.07,1.82,1
disney,2023-11-13,89.44,1.33,1
disney,2023-11-10,88.27,-2.29,-1
disney,2023-11-09,90.34,6.91,1
disney,2023-11-08,84.5,-0.11,-1
disney,2023-11-07,84.59,0.68,1
disney,2023-11-06,84.02,-1.23,-1
disney,2023-11-03,85.07,2.14,1
disney,2023-11-02,83.29,2.74,1
disney,2023-11-01,81.07,-0.64,-1
disney,2023-10-31,81.59,1.13,1
disney,2023-10-30,80.68,1.7,1
disney,2023-10-27,79.33,-0.56,-1
disney,2023-10-26,79.78,-1.01,-1
disney,2023-10-25,80.59,-2.39,-1
disney,2023-10-24,82.56,-0.65,-1
disney,2023-10-23,83.1,0.54,1
disney,2023-10-20,82.65,-0.72,-1
disney,2023-10-19,83.25,-1.69,-1
disney,2023-10-18,84.68,-1.76,-1
disney,2023-10-17,86.2,0.57,1
disney,2023-10-16,85.71,1.61,1
disney,2023-10-13,84.35,0.0,0
disney,2023-10-12,84.35,-0.59,-1
disney,2023-10-11,84.85,-0.16,-1
disney,2023-10-10,84.99,0.34,1
disney,2023-10-09,84.7,2.12,1
disney,2023-10-06,82.94,2.64,1
disney,2023-10-05,80.81,1.88,1
disney,2023-10-04,79.32,-0.28,-1
disney,2023-10-03,79.54,-2.61,-1
disney,2023-10-02,81.67,0.76,1
disney,2023-09-29,81.05,1.15,1
disney,2023-09-28,80.13,0.29,1
disney,2023-09-27,79.9,-0.19,-1
disney,2023-09-26,80.05,-1.19,-1
disney,2023-09-25,81.01,-0.3,-1
disney,2023-09-22,81.25,-1.79,-1
disney,2023-09-21,82.73,0.21,1
disney,2023-09-20,82.56,0.76,1
disney,2023-09-19,81.94,-3.62,-1
disney,2023-09-18,85.02,-0.65,-1
disney,2023-09-15,85.58,1.3,1
disney,2023-09-14,84.48,1.2,1
disney,2023-09-13,83.48,-0.24,-1
disney,2023-09-12,83.68,1.41,1
disney,2023-09-11,82.52,1.15,1
disney,2023-09-08,81.58,1.25,1
disney,2023-09-07,80.57,-0.51,-1
disney,2023-09-06,80.98,-0.26,-1
disney,2023-09-05,81.19,-0.55,-1
disney,2023-09-01,81.64,-2.44,-1
disney,2023-08-31,83.68,-0.71,-1
disney,2023-08-30,84.28,-0.14,-1
disney,2023-08-29,84.4,0.29,1
disney,2023-08-28,84.16,0.96,1
disney,2023-08-25,83.36,1.08,1
disney,2023-08-24,82.47,-3.91,-1
disney,2023-08-23,85.83,0.05,1
disney,2023-08-22,85.79,-0.1,-1
disney,2023-08-21,85.88,-0.09,-1
disney,2023-08-18,85.96,0.05,1
disney,2023-08-17,85.92,-0.5,-1
disney,2023-08-16,86.35,-0.82,-1
disney,2023-08-15,87.06,-1.97,-1
disney,2023-08-14,88.81,-0.24,-1
disney,2023-08-11,89.02,-2.99,-1
disney,2023-08-10,91.76,4.88,1
disney,2023-08-09,87.49,-0.73,-1
disney,2023-08-08,88.13,1.5,1
disney,2023-08-07,86.83,0.61,1
disney,2023-08-04,86.3,0.95,1
disney,2023-08-03,85.49,-0.94,-1
disney,2023-08-02,86.3,-3.07,-1
disney,2023-08-01,89.03,0.16,1
disney,2023-07-31,88.89,3.2,1
disney,2023-07-28,86.13,0.9,1
disney,2023-07-27,85.36,-0.58,-1
disney,2023-07-26,85.86,0.27,1
disney,2023-07-25,85.63,-1.12,-1
disney,2023-07-24,86.6,-0.67,-1
disney,2023-07-21,87.18,1.13,1
disney,2023-07-20,86.21,-0.95,-1
disney,2023-07-19,87.04,1.27,1
disney,2023-07-18,85.95,0.46,1
disney,2023-07-17,85.56,-3.45,-1
disney,2023-07-14,88.62,-2.04,-1
disney,2023-07-13,90.47,0.35,1
disney,2023-07-12,90.15,0.74,1
disney,2023-07-11,89.49,1.58,1
disney,2023-07-10,88.1,-0.61,-1
disney,2023-07-07,88.64,-0.11,-1
disney,2023-07-06,88.74,-1.17,-1
disney,2023-07-05,89.79,-0.78,-1
disney,2023-07-03,90.5,1.37,1
disney,2023-06-30,89.28,0.37,1
disney,2023-06-29,88.95,0.14,1
disney,2023-06-28,88.83,-0.26,-1
disney,2023-06-27,89.06,0.41,1
disney,2023-06-26,88.7,0.68,1
disney,2023-06-23,88.1,-0.44,-1
disney,2023-06-22,88.49,-0.17,-1
disney,2023-06-21,88.64,-1.24,-1
disney,2023-06-20,89.75,-1.72,-1
disney,2023-06-16,91.32,-1.74,-1
disney,2023-06-15,92.94,0.53,1
disney,2023-06-14,92.45,-1.49,-1
disney,2023-06-13,93.85,0.76,1
disney,2023-06-12,93.14,1.32,1
disney,2023-06-09,91.93,-0.65,-1
disney,2023-06-08,92.53,0.01,1
disney,2023-06-07,92.52,0.39,1
disney,2023-06-06,92.16,1.27,1
disney,2023-06-05,91.0,0.25,1
disney,2023-06-02,90.77,2.46,1
disney,2023-06-01,88.59,0.72,1
disney,2023-05-31,87.96,0.16,1
