COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
kosdaq,2023-12-28,0.64,0.79,1
kosdaq,2023-12-27,0.63,1.35,1
kosdaq,2023-12-26,0.62,-0.73,-1
kosdaq,2023-12-22,0.63,-0.56,-1
kosdaq,2023-12-21,0.63,-0.41,-1
kosdaq,2023-12-20,0.63,0.55,1
kosdaq,2023-12-19,0.63,0.86,1
kosdaq,2023-12-18,0.62,1.51,1
kosdaq,2023-12-15,0.62,-0.27,-1
kosdaq,2023-12-14,0.62,1.36,1
kosdaq,2023-12-13,0.61,-1.22,-1
kosdaq,2023-12-12,0.62,0.51,1
kosdaq,2023-12-11,0.61,0.59,1
kosdaq,2023-12-08,0.61,2.11,1
kosdaq,2023-12-07,0.6,-0.77,-1
kosdaq,2023-12-06,0.6,0.76,1
kosdaq,2023-12-05,0.6,-1.83,-1
kosdaq,2023-12-04,0.61,0.15,1
kosdaq,2023-12-01,0.61,-0.53,-1
kosdaq,2023-11-30,0.61,1.12,1
kosdaq,2023-11-29,0.6,0.73,1
kosdaq,2023-11-28,0.6,0.76,1
kosdaq,2023-11-27,0.6,-0.58,-1
kosdaq,2023-11-24,0.6,-0.12,-1
kosdaq,2023-11-23,0.6,0.17,1
kosdaq,2023-11-22,0.6,-0.29,-1
kosdaq,2023-11-21,0.6,0.48,1
kosdaq,2023-11-20,0.6,1.75,1
kosdaq,2023-11-17,0.59,-1.49,-1
kosdaq,2023-11-16,0.6,0.22,1
kosdaq,2023-11-15,0.59,1.91,1
kosdaq,2023-11-14,0.58,2.55,1
kosdaq,2023-11-13,0.57,-1.89,-1
kosdaq,2023-11-10,0.58,-1.69,-1
kosdaq,2023-11-09,0.59,-1.0,-1
kosdaq,2023-11-08,0.6,-1.62,-1
kosdaq,2023-11-07,0.61,-1.8,-1
kosdaq,2023-11-06,0.62,7.34,1
kosdaq,2023-11-03,0.57,1.19,1
kosdaq,2023-11-02,0.57,4.55,1
kosdaq,2023-11-01,0.54,0.43,1
kosdaq,2023-10-31,0.54,-2.78,-1
kosdaq,2023-10-30,0.56,1.15,1
kosdaq,2023-10-27,0.55,0.62,1
kosdaq,2023-10-26,0.55,-3.5,-1
kosdaq,2023-10-25,0.57,-1.79,-1
kosdaq,2023-10-24,0.58,2.77,1
kosdaq,2023-10-23,0.56,-0.72,-1
kosdaq,2023-10-20,0.56,-1.89,-1
kosdaq,2023-10-19,0.58,-3.07,-1
kosdaq,2023-10-18,0.59,-1.4,-1
kosdaq,2023-10-17,0.6,1.21,1
kosdaq,2023-10-16,0.6,-1.49,-1
kosdaq,2023-10-13,0.6,-1.52,-1
kosdaq,2023-10-12,0.61,2.25,1
kosdaq,2023-10-11,0.6,2.78,1
kosdaq,2023-10-10,0.58,-2.62,-1
kosdaq,2023-10-06,0.6,1.92,1
kosdaq,2023-10-05,0.59,-0.79,-1
kosdaq,2023-10-04,0.59,-4.0,-1
kosdaq,2023-09-27,0.62,1.59,1
kosdaq,2023-09-26,0.61,-1.35,-1
kosdaq,2023-09-25,0.62,-2.12,-1
kosdaq,2023-09-22,0.63,-0.39,-1
kosdaq,2023-09-21,0.63,-2.5,-1
kosdaq,2023-09-20,0.65,-0.13,-1
kosdaq,2023-09-19,0.65,-0.83,-1
kosdaq,2023-09-18,0.65,-0.86,-1
kosdaq,2023-09-15,0.66,-0.05,-1
kosdaq,2023-09-14,0.66,1.9,1
kosdaq,2023-09-13,0.65,-1.71,-1
kosdaq,2023-09-12,0.66,-1.59,-1
kosdaq,2023-09-11,0.67,-0.18,-1
kosdaq,2023-09-08,0.67,0.86,1
kosdaq,2023-09-07,0.67,-1.26,-1
kosdaq,2023-09-06,0.67,-0.38,-1
kosdaq,2023-09-05,0.68,0.25,1
kosdaq,2023-09-04,0.68,-0.06,-1
kosdaq,2023-09-01,0.68,-0.93,-1
kosdaq,2023-08-31,0.68,0.5,1
kosdaq,2023-08-30,0.68,0.83,1
kosdaq,2023-08-29,0.67,0.75,1
kosdaq,2023-08-28,0.67,1.11,1
kosdaq,2023-08-25,0.66,-0.26,-1
kosdaq,2023-08-24,0.66,2.14,1
kosdaq,2023-08-23,0.65,-1.17,-1
kosdaq,2023-08-22,0.66,0.52,1
kosdaq,2023-08-21,0.65,1.3,1
kosdaq,2023-08-18,0.64,-0.98,-1
kosdaq,2023-08-17,0.65,0.88,1
kosdaq,2023-08-16,0.64,-2.59,-1
kosdaq,2023-08-14,0.66,-1.15,-1
kosdaq,2023-08-11,0.67,0.1,1
kosdaq,2023-08-10,0.67,0.25,1
kosdaq,2023-08-09,0.67,1.86,1
kosdaq,2023-08-08,0.66,-0.65,-1
kosdaq,2023-08-07,0.66,-2.2,-1
kosdaq,2023-08-04,0.67,-0.21,-1
kosdaq,2023-08-03,0.68,1.16,1
kosdaq,2023-08-02,0.67,-3.18,-1
kosdaq,2023-08-01,0.69,0.4,1
kosdaq,2023-07-31,0.69,2.43,1
kosdaq,2023-07-28,0.67,3.39,1
kosdaq,2023-07-27,0.65,-1.87,-1
kosdaq,2023-07-26,0.66,-4.18,-1
kosdaq,2023-07-25,0.69,1.08,1
kosdaq,2023-07-24,0.68,-0.5,-1
kosdaq,2023-07-21,0.69,0.32,1
kosdaq,2023-07-20,0.68,0.85,1
kosdaq,2023-07-19,0.68,1.05,1
kosdaq,2023-07-18,0.67,1.76,1
kosdaq,2023-07-17,0.66,0.22,1
kosdaq,2023-07-14,0.66,0.36,1
kosdaq,2023-07-13,0.66,1.5,1
kosdaq,2023-07-12,0.65,0.13,1
kosdaq,2023-07-11,0.65,2.14,1
kosdaq,2023-07-10,0.63,-0.8,-1
kosdaq,2023-07-07,0.64,-0.37,-1
kosdaq,2023-07-06,0.64,-2.32,-1
kosdaq,2023-07-05,0.65,0.13,1
kosdaq,2023-07-04,0.65,0.08,1
kosdaq,2023-07-03,0.65,2.42,1
kosdaq,2023-06-30,0.64,0.75,1
kosdaq,2023-06-29,0.63,-0.6,-1
kosdaq,2023-06-28,0.64,-0.82,-1
kosdaq,2023-06-27,0.64,-0.61,-1
kosdaq,2023-06-26,0.65,0.53,1
kosdaq,2023-06-23,0.64,-0.18,-1
kosdaq,2023-06-22,0.64,0.08,1
kosdaq,2023-06-21,0.64,-1.21,-1
kosdaq,2023-06-20,0.65,-0.25,-1
kosdaq,2023-06-19,0.65,0.07,1
kosdaq,2023-06-16,0.65,1.13,1
kosdaq,2023-06-15,0.64,0.71,1
kosdaq,2023-06-14,0.64,-2.79,-1
kosdaq,2023-06-13,0.66,1.25,1
kosdaq,2023-06-12,0.65,0.23,1
kosdaq,2023-06-09,0.65,0.87,1
