COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
kospi,2023-12-28,1.95,1.6,1
kospi,2023-12-27,1.92,0.42,1
kospi,2023-12-26,1.91,0.12,1
kospi,2023-12-22,1.91,-0.02,-1
kospi,2023-12-21,1.91,-0.55,-1
kospi,2023-12-20,1.92,1.78,1
kospi,2023-12-19,1.89,0.07,1
kospi,2023-12-18,1.89,0.13,1
kospi,2023-12-15,1.88,0.76,1
kospi,2023-12-14,1.87,1.34,1
kospi,2023-12-13,1.84,-0.97,-1
kospi,2023-12-12,1.86,0.39,1
kospi,2023-12-11,1.85,0.3,1
kospi,2023-12-08,1.85,1.03,1
kospi,2023-12-07,1.83,-0.13,-1
kospi,2023-12-06,1.83,0.04,1
kospi,2023-12-05,1.83,-0.82,-1
kospi,2023-12-04,1.85,0.4,1
kospi,2023-12-01,1.84,-1.19,-1
kospi,2023-11-30,1.86,0.61,1
kospi,2023-11-29,1.85,-0.08,-1
kospi,2023-11-28,1.85,1.05,1
kospi,2023-11-27,1.83,-0.04,-1
kospi,2023-11-24,1.83,-0.73,-1
kospi,2023-11-23,1.85,0.13,1
kospi,2023-11-22,1.84,0.05,1
kospi,2023-11-21,1.84,0.77,1
kospi,2023-11-20,1.83,0.86,1
kospi,2023-11-17,1.81,-0.74,-1
kospi,2023-11-16,1.83,0.06,1
kospi,2023-11-15,1.83,2.2,1
kospi,2023-11-14,1.79,1.23,1
kospi,2023-11-13,1.77,-0.24,-1
kospi,2023-11-10,1.77,-0.72,-1
kospi,2023-11-09,1.78,0.23,1
kospi,2023-11-08,1.78,-0.91,-1
kospi,2023-11-07,1.79,-2.33,-1
kospi,2023-11-06,1.84,5.66,1
kospi,2023-11-03,1.74,1.08,1
kospi,2023-11-02,1.72,1.81,1
kospi,2023-11-01,1.69,1.03,1
kospi,2023-10-31,1.67,-1.41,-1
kospi,2023-10-30,1.7,0.34,1
kospi,2023-10-27,1.69,0.16,1
