COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nikkei,2023-12-29,214.25,-0.22,-1
nikkei,2023-12-28,214.73,-0.42,-1
nikkei,2023-12-27,215.64,1.13,1
nikkei,2023-12-26,213.24,0.16,1
nikkei,2023-12-25,212.9,0.26,1
nikkei,2023-12-22,212.36,0.09,1
nikkei,2023-12-21,212.18,-1.59,-1
nikkei,2023-12-20,215.6,1.37,1
nikkei,2023-12-19,212.68,1.41,1
nikkei,2023-12-18,209.73,-0.64,-1
nikkei,2023-12-15,211.09,0.87,1
nikkei,2023-12-14,209.27,-0.73,-1
nikkei,2023-12-13,210.81,0.25,1
nikkei,2023-12-12,210.28,0.16,1
nikkei,2023-12-11,209.94,1.5,1
nikkei,2023-12-08,206.85,-1.68,-1
nikkei,2023-12-07,210.37,-1.76,-1
nikkei,2023-12-06,214.13,2.04,1
nikkei,2023-12-05,209.84,-1.37,-1
nikkei,2023-12-04,212.76,-0.6,-1
nikkei,2023-12-01,214.04,-0.17,-1
nikkei,2023-11-30,214.39,0.5,1
nikkei,2023-11-29,213.33,-0.26,-1
nikkei,2023-11-28,213.89,-0.12,-1
nikkei,2023-11-27,214.14,-0.53,-1
nikkei,2023-11-24,215.28,0.52,1
nikkei,2023-11-22,214.17,0.29,1
nikkei,2023-11-21,213.54,-0.1,-1
nikkei,2023-11-20,213.76,-0.59,-1
nikkei,2023-11-17,215.02,0.48,1
nikkei,2023-11-16,213.99,-0.28,-1
nikkei,2023-11-15,214.6,2.52,1
nikkei,2023-11-14,209.33,0.34,1
nikkei,2023-11-13,208.62,0.05,1
nikkei,2023-11-10,208.51,-0.24,-1
nikkei,2023-11-09,209.01,1.49,1
nikkei,2023-11-08,205.94,-0.33,-1
nikkei,2023-11-07,206.61,-1.34,-1
nikkei,2023-11-06,209.41,2.37,1
nikkei,2023-11-02,204.55,1.1,1
nikkei,2023-11-01,202.32,2.41,1
nikkei,2023-10-31,197.57,0.53,1
nikkei,2023-10-30,196.53,-0.95,-1
nikkei,2023-10-27,198.42,1.27,1
nikkei,2023-10-26,195.92,-2.14,-1
nikkei,2023-10-25,200.2,0.67,1
nikkei,2023-10-24,198.87,0.2,1
nikkei,2023-10-23,198.47,-0.83,-1
nikkei,2023-10-20,200.13,-0.54,-1
nikkei,2023-10-19,201.23,-1.91,-1
nikkei,2023-10-18,205.15,0.01,1
nikkei,2023-10-17,205.13,1.2,1
nikkei,2023-10-16,202.69,-2.03,-1
nikkei,2023-10-13,206.9,-0.55,-1
nikkei,2023-10-12,208.04,1.75,1
nikkei,2023-10-11,204.47,0.6,1
nikkei,2023-10-10,203.25,2.43,1
nikkei,2023-10-06,198.44,-0.26,-1
nikkei,2023-10-05,198.95,1.8,1
nikkei,2023-10-04,195.44,-2.28,-1
nikkei,2023-10-03,200.0,-1.64,-1
nikkei,2023-10-02,203.34,-0.31,-1
nikkei,2023-09-29,203.96,-0.05,-1
nikkei,2023-09-28,204.06,-1.54,-1
nikkei,2023-09-27,207.26,0.18,1
nikkei,2023-09-26,206.89,-1.11,-1
nikkei,2023-09-25,209.22,0.85,1
nikkei,2023-09-22,207.45,-0.52,-1
nikkei,2023-09-21,208.53,-1.37,-1
nikkei,2023-09-20,211.43,-0.66,-1
nikkei,2023-09-19,212.83,-0.87,-1
nikkei,2023-09-15,214.69,1.1,1
nikkei,2023-09-14,212.35,1.41,1
nikkei,2023-09-13,209.4,-0.21,-1
nikkei,2023-09-12,209.85,0.95,1
nikkei,2023-09-11,207.87,-0.43,-1
nikkei,2023-09-08,208.76,-1.16,-1
nikkei,2023-09-07,211.22,-0.75,-1
nikkei,2023-09-06,212.82,0.62,1
nikkei,2023-09-05,211.51,0.3,1
nikkei,2023-09-04,210.89,0.7,1
nikkei,2023-09-01,209.42,0.28,1
nikkei,2023-08-31,208.84,0.88,1
nikkei,2023-08-30,207.01,0.33,1
nikkei,2023-08-29,206.33,0.18,1
nikkei,2023-08-28,205.96,1.73,1
nikkei,2023-08-25,202.47,-2.05,-1
nikkei,2023-08-24,206.71,0.87,1
nikkei,2023-08-23,204.94,0.48,1
nikkei,2023-08-22,203.96,0.92,1
nikkei,2023-08-21,202.09,0.37,1
nikkei,2023-08-18,201.36,-0.55,-1
nikkei,2023-08-17,202.48,-0.44,-1
nikkei,2023-08-16,203.38,-1.46,-1
nikkei,2023-08-15,206.4,0.56,1
nikkei,2023-08-14,205.26,-1.27,-1
nikkei,2023-08-10,207.91,0.84,1
nikkei,2023-08-09,206.18,-0.53,-1
