COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nvidia,2023-12-29,495.22,0.0,0
nvidia,2023-12-28,495.22,0.21,1
nvidia,2023-12-27,494.17,0.28,1
nvidia,2023-12-26,492.79,0.92,1
nvidia,2023-12-22,488.3,-0.33,-1
nvidia,2023-12-21,489.9,1.83,1
nvidia,2023-12-20,481.11,-3.01,-1
nvidia,2023-12-19,496.04,-0.94,-1
nvidia,2023-12-18,500.77,2.43,1
nvidia,2023-12-15,488.9,1.12,1
nvidia,2023-12-14,483.5,0.54,1
nvidia,2023-12-13,480.88,0.9,1
nvidia,2023-12-12,476.57,2.21,1
nvidia,2023-12-11,466.27,-1.85,-1
nvidia,2023-12-08,475.06,1.95,1
nvidia,2023-12-07,465.96,2.4,1
nvidia,2023-12-06,455.03,-2.28,-1
nvidia,2023-12-05,465.66,2.32,1
nvidia,2023-12-04,455.1,-2.68,-1
nvidia,2023-12-01,467.65,-0.01,-1
nvidia,2023-11-30,467.7,-2.85,-1
nvidia,2023-11-29,481.4,0.67,1
nvidia,2023-11-28,478.21,-0.87,-1
nvidia,2023-11-27,482.42,0.98,1
nvidia,2023-11-24,477.76,-1.93,-1
nvidia,2023-11-22,487.16,-2.46,-1
nvidia,2023-11-21,499.44,-0.92,-1
nvidia,2023-11-20,504.09,2.25,1
nvidia,2023-11-17,492.98,-0.37,-1
nvidia,2023-11-16,494.8,1.21,1
nvidia,2023-11-15,488.88,-1.55,-1
nvidia,2023-11-14,496.56,2.13,1
nvidia,2023-11-13,486.2,0.59,1
nvidia,2023-11-10,483.35,2.95,1
nvidia,2023-11-09,469.5,0.81,1
nvidia,2023-11-08,465.74,1.35,1
nvidia,2023-11-07,459.55,0.45,1
nvidia,2023-11-06,457.51,1.66,1
nvidia,2023-11-03,450.05,3.45,1
nvidia,2023-11-02,435.06,2.79,1
nvidia,2023-11-01,423.25,3.79,1
nvidia,2023-10-31,407.8,-0.93,-1
nvidia,2023-10-30,411.61,1.63,1
nvidia,2023-10-27,405.0,0.43,1
nvidia,2023-10-26,403.26,-3.48,-1
nvidia,2023-10-25,417.79,-4.31,-1
nvidia,2023-10-24,436.63,1.6,1
nvidia,2023-10-23,429.75,3.84,1
nvidia,2023-10-20,413.87,-1.7,-1
nvidia,2023-10-19,421.01,-0.23,-1
nvidia,2023-10-18,421.96,-3.96,-1
nvidia,2023-10-17,439.38,-4.68,-1
nvidia,2023-10-16,460.95,1.39,1
nvidia,2023-10-13,454.61,-3.16,-1
nvidia,2023-10-12,469.45,0.3,1
nvidia,2023-10-11,468.06,2.2,1
nvidia,2023-10-10,457.98,1.16,1
nvidia,2023-10-09,452.73,-1.07,-1
nvidia,2023-10-06,457.62,2.4,1
nvidia,2023-10-05,446.88,1.47,1
nvidia,2023-10-04,440.41,1.2,1
nvidia,2023-10-03,435.17,-2.82,-1
nvidia,2023-10-02,447.82,2.95,1
nvidia,2023-09-29,434.99,0.95,1
nvidia,2023-09-28,430.89,1.46,1
nvidia,2023-09-27,424.68,1.33,1
nvidia,2023-09-26,419.11,-0.74,-1
nvidia,2023-09-25,422.22,1.47,1
nvidia,2023-09-22,416.1,1.45,1
nvidia,2023-09-21,410.17,-2.89,-1
nvidia,2023-09-20,422.39,-2.94,-1
nvidia,2023-09-19,435.2,-1.01,-1
nvidia,2023-09-18,439.66,0.15,1
nvidia,2023-09-15,439.0,-3.69,-1
nvidia,2023-09-14,455.81,0.21,1
nvidia,2023-09-13,454.85,1.37,1
nvidia,2023-09-12,448.7,-0.68,-1
nvidia,2023-09-11,451.78,-0.86,-1
nvidia,2023-09-08,455.72,-1.45,-1
nvidia,2023-09-07,462.41,-1.74,-1
nvidia,2023-09-06,470.61,-3.06,-1
nvidia,2023-09-05,485.48,0.08,1
nvidia,2023-09-01,485.09,-1.71,-1
nvidia,2023-08-31,493.55,0.18,1
nvidia,2023-08-30,492.64,0.98,1
nvidia,2023-08-29,487.84,4.16,1
nvidia,2023-08-28,468.35,1.78,1
nvidia,2023-08-25,460.18,-2.43,-1
nvidia,2023-08-24,471.63,0.1,1
nvidia,2023-08-23,471.16,3.17,1
nvidia,2023-08-22,456.68,-2.77,-1
nvidia,2023-08-21,469.67,8.47,1
nvidia,2023-08-18,432.99,-0.1,-1
nvidia,2023-08-17,433.43,-0.33,-1
nvidia,2023-08-16,434.86,-1.03,-1
nvidia,2023-08-15,439.4,0.43,1
nvidia,2023-08-14,437.53,7.09,1
nvidia,2023-08-11,408.55,-3.62,-1
nvidia,2023-08-10,423.88,-0.39,-1
nvidia,2023-08-09,425.54,-4.72,-1
nvidia,2023-08-08,446.64,-1.66,-1
nvidia,2023-08-07,454.17,1.65,1
nvidia,2023-08-04,446.8,0.37,1
nvidia,2023-08-03,445.15,0.56,1
nvidia,2023-08-02,442.69,-4.81,-1
nvidia,2023-08-01,465.07,-0.48,-1
nvidia,2023-07-31,467.29,-0.04,-1
nvidia,2023-07-28,467.5,1.85,1
nvidia,2023-07-27,459.0,0.99,1
nvidia,2023-07-26,454.52,-0.5,-1
nvidia,2023-07-25,456.79,2.39,1
nvidia,2023-07-24,446.12,0.68,1
nvidia,2023-07-21,443.09,-2.66,-1
nvidia,2023-07-20,455.2,-3.31,-1
nvidia,2023-07-19,470.77,-0.88,-1
nvidia,2023-07-18,474.94,2.22,1
nvidia,2023-07-17,464.61,2.18,1
nvidia,2023-07-14,454.69,-1.1,-1
nvidia,2023-07-13,459.77,4.73,1
nvidia,2023-07-12,439.02,3.53,1
nvidia,2023-07-11,424.05,0.53,1
nvidia,2023-07-10,421.8,-0.76,-1
nvidia,2023-07-07,425.03,0.95,1
nvidia,2023-07-06,421.03,-0.51,-1
nvidia,2023-07-05,423.17,-0.23,-1
nvidia,2023-07-03,424.13,0.26,1
nvidia,2023-06-30,423.02,3.63,1
nvidia,2023-06-29,408.22,-0.72,-1
nvidia,2023-06-28,411.17,-1.81,-1
nvidia,2023-06-27,418.76,3.06,1
nvidia,2023-06-26,406.32,-3.74,-1
nvidia,2023-06-23,422.09,-1.9,-1
nvidia,2023-06-22,430.25,-0.05,-1
nvidia,2023-06-21,430.45,-1.74,-1
nvidia,2023-06-20,438.08,2.61,1
nvidia,2023-06-16,426.92,0.09,1
nvidia,2023-06-15,426.53,-0.8,-1
nvidia,2023-06-14,429.97,4.81,1
nvidia,2023-06-13,410.22,3.9,1
nvidia,2023-06-12,394.82,1.84,1
nvidia,2023-06-09,387.7,0.68,1
nvidia,2023-06-08,385.1,2.76,1
nvidia,2023-06-07,374.75,-3.05,-1
nvidia,2023-06-06,386.54,-1.32,-1
nvidia,2023-06-05,391.71,-0.4,-1
nvidia,2023-06-02,393.27,-1.11,-1
nvidia,2023-06-01,397.7,5.12,1
nvidia,2023-05-31,378.34,-5.68,-1
nvidia,2023-05-30,401.11,2.99,1
nvidia,2023-05-26,389.46,2.54,1
nvidia,2023-05-25,379.8,24.37,1
nvidia,2023-05-24,305.38,-0.49,-1
nvidia,2023-05-23,306.88,-1.57,-1
nvidia,2023-05-22,311.76,-0.28,-1
nvidia,2023-05-19,312.64,-1.31,-1
nvidia,2023-05-18,316.78,4.97,1
nvidia,2023-05-17,301.78,3.3,1
nvidia,2023-05-16,292.13,0.9,1
nvidia,2023-05-15,289.53,2.16,1
nvidia,2023-05-12,283.4,-0.83,-1
nvidia,2023-05-11,285.78,-1.06,-1
nvidia,2023-05-10,288.85,1.1,1
nvidia,2023-05-09,285.71,-1.99,-1
nvidia,2023-05-08,291.51,1.64,1
nvidia,2023-05-05,286.8,4.06,1
nvidia,2023-05-04,275.62,-0.86,-1
nvidia,2023-05-03,278.02,-1.45,-1
nvidia,2023-05-02,282.1,-2.42,-1
nvidia,2023-05-01,289.1,4.18,1
nvidia,2023-04-28,277.49,1.92,1
nvidia,2023-04-27,272.26,1.0,1
nvidia,2023-04-26,269.56,2.72,1
nvidia,2023-04-25,262.41,-2.96,-1
nvidia,2023-04-24,270.42,-0.28,-1
nvidia,2023-04-21,271.19,0.06,1
nvidia,2023-04-20,271.04,-2.96,-1
nvidia,2023-04-19,279.31,0.95,1
nvidia,2023-04-18,276.67,2.46,1
nvidia,2023-04-17,270.02,0.91,1
nvidia,2023-04-14,267.58,1.11,1
nvidia,2023-04-13,264.63,-0.12,-1
nvidia,2023-04-12,264.95,-2.48,-1
nvidia,2023-04-11,271.69,-1.49,-1
nvidia,2023-04-10,275.79,2.0,1
nvidia,2023-04-06,270.37,0.58,1
nvidia,2023-04-05,268.81,-2.08,-1
nvidia,2023-04-04,274.53,-1.83,-1
nvidia,2023-04-03,279.65,0.68,1
nvidia,2023-03-31,277.77,1.44,1
nvidia,2023-03-30,273.83,1.48,1
nvidia,2023-03-29,269.84,2.17,1
nvidia,2023-03-28,264.1,-0.46,-1
nvidia,2023-03-27,265.31,-0.93,-1
nvidia,2023-03-24,267.79,-1.52,-1
nvidia,2023-03-23,271.91,2.73,1
nvidia,2023-03-22,264.68,1.03,1
nvidia,2023-03-21,261.99,1.15,1
