COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
szi,2023-12-29,411.91,0.68,1
szi,2023-12-28,409.11,1.38,1
szi,2023-12-27,403.56,0.54,1
szi,2023-12-26,401.38,-0.68,-1
szi,2023-12-25,404.14,0.14,1
szi,2023-12-22,403.58,-0.13,-1
szi,2023-12-21,404.12,0.57,1
szi,2023-12-20,401.83,-1.03,-1
szi,2023-12-19,406.02,0.05,1
szi,2023-12-18,405.8,-0.4,-1
szi,2023-12-15,407.43,-0.56,-1
szi,2023-12-14,409.7,-0.33,-1
szi,2023-12-13,411.05,-1.15,-1
szi,2023-12-12,415.86,0.4,1
szi,2023-12-11,414.19,0.74,1
szi,2023-12-08,411.17,0.11,1
szi,2023-12-07,410.7,-0.09,-1
szi,2023-12-06,411.08,-0.11,-1
szi,2023-12-05,411.54,-1.67,-1
szi,2023-12-04,418.55,-0.29,-1
szi,2023-12-01,419.76,0.06,1
szi,2023-11-30,419.49,0.26,1
szi,2023-11-29,418.38,-0.56,-1
szi,2023-11-28,420.72,0.23,1
szi,2023-11-27,419.77,-0.3,-1
szi,2023-11-24,421.05,-0.68,-1
szi,2023-11-23,423.95,0.6,1
szi,2023-11-22,421.42,-0.79,-1
szi,2023-11-21,424.79,-0.01,-1
szi,2023-11-20,424.84,0.46,1
szi,2023-11-17,422.91,0.11,1
szi,2023-11-16,422.43,-0.71,-1
szi,2023-11-15,425.46,0.55,1
szi,2023-11-14,423.14,0.31,1
szi,2023-11-13,421.82,0.25,1
szi,2023-11-10,420.78,-0.47,-1
szi,2023-11-09,422.76,0.03,1
szi,2023-11-08,422.63,-0.16,-1
szi,2023-11-07,423.31,-0.04,-1
szi,2023-11-06,423.47,0.91,1
szi,2023-11-03,419.64,0.71,1
szi,2023-11-02,416.68,-0.45,-1
szi,2023-11-01,418.58,0.14,1
szi,2023-10-31,417.98,-0.09,-1
szi,2023-10-30,418.36,0.12,1
szi,2023-10-27,417.84,0.99,1
szi,2023-10-26,413.76,0.48,1
szi,2023-10-25,411.8,0.4,1
szi,2023-10-24,410.15,0.78,1
szi,2023-10-23,406.97,-1.47,-1
szi,2023-10-20,413.03,-0.74,-1
szi,2023-10-19,416.13,-1.74,-1
szi,2023-10-18,423.51,-0.8,-1
szi,2023-10-17,426.94,0.32,1
szi,2023-10-16,425.6,-0.46,-1
szi,2023-10-13,427.58,-0.64,-1
szi,2023-10-12,430.32,0.94,1
szi,2023-10-11,426.31,0.12,1
szi,2023-10-10,425.8,-0.7,-1
szi,2023-10-09,428.8,-0.44,-1
szi,2023-09-28,430.68,0.1,1
szi,2023-09-27,430.24,0.16,1
szi,2023-09-26,429.54,-0.43,-1
szi,2023-09-25,431.39,-0.54,-1
szi,2023-09-22,433.72,1.55,1
szi,2023-09-21,427.11,-0.77,-1
szi,2023-09-20,430.41,-0.52,-1
szi,2023-09-19,432.68,-0.03,-1
szi,2023-09-18,432.82,0.26,1
szi,2023-09-15,431.68,-0.28,-1
szi,2023-09-14,432.9,0.11,1
szi,2023-09-13,432.42,-0.45,-1
szi,2023-09-12,434.36,-0.18,-1
szi,2023-09-11,435.15,0.84,1
szi,2023-09-08,431.54,-0.18,-1
szi,2023-09-07,432.32,-1.13,-1
szi,2023-09-06,437.27,0.12,1
szi,2023-09-05,436.75,-0.71,-1
szi,2023-09-04,439.9,1.4,1
szi,2023-09-01,433.83,0.43,1
szi,2023-08-31,431.98,-0.55,-1
szi,2023-08-30,434.37,0.04,1
szi,2023-08-29,434.2,1.2,1
szi,2023-08-28,429.04,1.13,1
szi,2023-08-25,424.25,-0.59,-1
szi,2023-08-24,426.77,0.12,1
szi,2023-08-23,426.24,-1.34,-1
szi,2023-08-22,432.04,0.88,1
szi,2023-08-21,428.25,-1.24,-1
szi,2023-08-18,433.65,-1.0,-1
szi,2023-08-17,438.05,0.43,1
szi,2023-08-16,436.17,-0.82,-1
szi,2023-08-15,439.77,-0.07,-1
szi,2023-08-14,440.09,-0.34,-1
szi,2023-08-11,441.58,-2.01,-1
szi,2023-08-10,450.63,0.31,1
szi,2023-08-09,449.23,-0.49,-1
szi,2023-08-08,451.47,-0.25,-1
szi,2023-08-07,452.6,-0.59,-1
szi,2023-08-04,455.27,0.23,1
szi,2023-08-03,454.21,0.58,1
szi,2023-08-02,451.61,-0.89,-1
szi,2023-08-01,455.66,0.0,0
szi,2023-07-31,455.68,0.46,1
szi,2023-07-28,453.59,1.84,1
szi,2023-07-27,445.38,-0.2,-1
szi,2023-07-26,446.26,-0.26,-1
szi,2023-07-25,447.44,2.13,1
szi,2023-07-24,438.11,-0.11,-1
szi,2023-07-21,438.61,-0.06,-1
szi,2023-07-20,438.85,-0.92,-1
szi,2023-07-19,442.91,0.03,1
szi,2023-07-18,442.77,-0.37,-1
szi,2023-07-17,444.41,-0.87,-1
szi,2023-07-14,448.29,0.04,1
szi,2023-07-13,448.12,1.26,1
szi,2023-07-12,442.54,-0.78,-1
szi,2023-07-11,446.03,0.55,1
szi,2023-07-10,443.58,0.22,1
