COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
tesla,2023-12-29,248.48,-1.86,-1
tesla,2023-12-28,253.18,-3.16,-1
tesla,2023-12-27,261.44,1.88,1
tesla,2023-12-26,256.61,1.61,1
tesla,2023-12-22,252.54,-0.77,-1
tesla,2023-12-21,254.5,2.98,1
tesla,2023-12-20,247.14,-3.92,-1
tesla,2023-12-19,257.22,2.04,1
tesla,2023-12-18,252.08,-0.56,-1
tesla,2023-12-15,253.5,0.98,1
tesla,2023-12-14,251.05,4.91,1
tesla,2023-12-13,239.29,0.96,1
tesla,2023-12-12,237.01,-1.14,-1
tesla,2023-12-11,239.74,-1.68,-1
tesla,2023-12-08,243.84,0.49,1
tesla,2023-12-07,242.64,1.37,1
tesla,2023-12-06,239.37,0.27,1
tesla,2023-12-05,238.72,1.33,1
tesla,2023-12-04,235.58,-1.36,-1
tesla,2023-12-01,238.83,-0.52,-1
tesla,2023-11-30,240.08,-1.66,-1
tesla,2023-11-29,244.14,-1.05,-1
tesla,2023-11-28,246.72,4.51,1
tesla,2023-11-27,236.08,0.27,1
tesla,2023-11-24,235.45,0.53,1
tesla,2023-11-22,234.21,-2.9,-1
tesla,2023-11-21,241.2,2.38,1
tesla,2023-11-20,235.6,0.55,1
tesla,2023-11-17,234.3,0.3,1
tesla,2023-11-16,233.59,-3.81,-1
tesla,2023-11-15,242.84,2.29,1
tesla,2023-11-14,237.41,6.12,1
tesla,2023-11-13,223.71,4.22,1
tesla,2023-11-10,214.65,2.22,1
tesla,2023-11-09,209.98,-5.46,-1
tesla,2023-11-08,222.11,-0.03,-1
tesla,2023-11-07,222.18,1.33,1
tesla,2023-11-06,219.27,-0.31,-1
tesla,2023-11-03,219.96,0.66,1
tesla,2023-11-02,218.51,6.25,1
tesla,2023-11-01,205.66,2.4,1
tesla,2023-10-31,200.84,1.76,1
tesla,2023-10-30,197.36,-4.79,-1
tesla,2023-10-27,207.3,0.75,1
tesla,2023-10-26,205.76,-3.14,-1
tesla,2023-10-25,212.42,-1.89,-1
tesla,2023-10-24,216.52,2.09,1
tesla,2023-10-23,212.08,0.04,1
tesla,2023-10-20,211.99,-3.69,-1
tesla,2023-10-19,220.11,-9.3,-1
tesla,2023-10-18,242.68,-4.78,-1
tesla,2023-10-17,254.85,0.37,1
tesla,2023-10-16,253.92,1.12,1
tesla,2023-10-13,251.12,-2.99,-1
tesla,2023-10-12,258.87,-1.57,-1
tesla,2023-10-11,262.99,-0.24,-1
tesla,2023-10-10,263.62,1.52,1
tesla,2023-10-09,259.67,-0.33,-1
tesla,2023-10-06,260.53,0.18,1
tesla,2023-10-05,260.05,-0.43,-1
tesla,2023-10-04,261.16,5.93,1
tesla,2023-10-03,246.53,-2.02,-1
tesla,2023-10-02,251.6,0.55,1
tesla,2023-09-29,250.22,1.56,1
tesla,2023-09-28,246.38,2.44,1
tesla,2023-09-27,240.5,-1.48,-1
tesla,2023-09-26,244.12,-1.16,-1
tesla,2023-09-25,246.99,0.86,1
tesla,2023-09-22,244.88,-4.23,-1
tesla,2023-09-21,255.7,-2.62,-1
tesla,2023-09-20,262.59,-1.47,-1
tesla,2023-09-19,266.5,0.46,1
tesla,2023-09-18,265.28,-3.32,-1
tesla,2023-09-15,274.39,-0.6,-1
tesla,2023-09-14,276.04,1.75,1
tesla,2023-09-13,271.3,1.43,1
tesla,2023-09-12,267.48,-2.23,-1
tesla,2023-09-11,273.58,10.09,1
tesla,2023-09-08,248.5,-1.19,-1
tesla,2023-09-07,251.49,-0.17,-1
tesla,2023-09-06,251.92,-1.78,-1
tesla,2023-09-05,256.49,4.69,1
tesla,2023-09-01,245.01,-5.06,-1
tesla,2023-08-31,258.08,0.46,1
tesla,2023-08-30,256.9,-0.11,-1
tesla,2023-08-29,257.18,7.69,1
tesla,2023-08-28,238.82,0.1,1
tesla,2023-08-25,238.59,3.72,1
tesla,2023-08-24,230.04,-2.88,-1
tesla,2023-08-23,236.86,1.57,1
tesla,2023-08-22,233.19,0.83,1
tesla,2023-08-21,231.28,7.33,1
tesla,2023-08-18,215.49,-1.7,-1
tesla,2023-08-17,219.22,-2.83,-1
tesla,2023-08-16,225.6,-3.16,-1
tesla,2023-08-15,232.96,-2.84,-1
tesla,2023-08-14,239.76,-1.19,-1
tesla,2023-08-11,242.65,-1.1,-1
tesla,2023-08-10,245.34,1.3,1
tesla,2023-08-09,242.19,-3.01,-1
tesla,2023-08-08,249.7,-0.7,-1
tesla,2023-08-07,251.45,-0.95,-1
tesla,2023-08-04,253.86,-2.11,-1
tesla,2023-08-03,259.32,2.05,1
tesla,2023-08-02,254.11,-2.67,-1
tesla,2023-08-01,261.07,-2.38,-1
tesla,2023-07-31,267.43,0.37,1
tesla,2023-07-28,266.44,4.2,1
tesla,2023-07-27,255.71,-3.27,-1
tesla,2023-07-26,264.35,-0.35,-1
tesla,2023-07-25,265.28,-1.4,-1
tesla,2023-07-24,269.06,3.48,1
tesla,2023-07-21,260.02,-1.1,-1
tesla,2023-07-20,262.9,-9.74,-1
tesla,2023-07-19,291.26,-0.71,-1
tesla,2023-07-18,293.34,1.02,1
tesla,2023-07-17,290.38,3.2,1
tesla,2023-07-14,281.38,1.25,1
tesla,2023-07-13,277.9,2.17,1
tesla,2023-07-12,271.99,0.82,1
tesla,2023-07-11,269.79,0.07,1
tesla,2023-07-10,269.61,-1.76,-1
tesla,2023-07-07,274.43,-0.76,-1
tesla,2023-07-06,276.54,-2.1,-1
tesla,2023-07-05,282.48,0.95,1
tesla,2023-07-03,279.82,6.9,1
tesla,2023-06-30,261.77,1.66,1
tesla,2023-06-29,257.5,0.49,1
tesla,2023-06-28,256.24,2.41,1
tesla,2023-06-27,250.21,3.8,1
tesla,2023-06-26,241.05,-6.06,-1
tesla,2023-06-23,256.6,-3.03,-1
tesla,2023-06-22,264.61,1.98,1
tesla,2023-06-21,259.46,-5.46,-1
tesla,2023-06-20,274.45,5.34,1
tesla,2023-06-16,260.54,1.81,1
tesla,2023-06-15,255.9,-0.35,-1
tesla,2023-06-14,256.79,-0.74,-1
tesla,2023-06-13,258.71,3.55,1
tesla,2023-06-12,249.83,2.22,1
tesla,2023-06-09,244.4,4.06,1
tesla,2023-06-08,234.86,4.58,1
tesla,2023-06-07,224.57,1.47,1
tesla,2023-06-06,221.31,1.7,1
tesla,2023-06-05,217.61,1.7,1
tesla,2023-06-02,213.97,3.11,1
tesla,2023-06-01,207.52,1.76,1
tesla,2023-05-31,203.93,1.38,1
tesla,2023-05-30,201.16,4.14,1
tesla,2023-05-26,193.17,4.72,1
tesla,2023-05-25,184.47,0.86,1
tesla,2023-05-24,182.9,-1.54,-1
tesla,2023-05-23,185.77,-1.64,-1
tesla,2023-05-22,188.87,4.85,1
tesla,2023-05-19,180.14,1.84,1
tesla,2023-05-18,176.89,1.74,1
tesla,2023-05-17,173.86,4.41,1
tesla,2023-05-16,166.52,0.1,1
tesla,2023-05-15,166.35,-0.97,-1
tesla,2023-05-12,167.98,-2.38,-1
tesla,2023-05-11,172.08,2.1,1
tesla,2023-05-10,168.54,-0.36,-1
tesla,2023-05-09,169.15,-1.54,-1
tesla,2023-05-08,171.79,1.02,1
