"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","90.29","90.12","90.60","89.86","9.21M","-0.12%"
"2023- 12- 28","90.40","90.09","90.98","89.97","8.44M","0.02%"
"2023- 12- 27","90.38","90.91","90.94","90.04","11.12M","-0.63%"
"2023- 12- 26","90.95","90.84","91.27","90.60","8.03M","-0.08%"
"2023- 12- 22","91.02","91.62","92.24","90.75","9.42M","-1.09%"
"2023- 12- 21","92.02","91.93","92.08","91.06","12.97M","0.82%"
"2023- 12- 20","91.27","93.24","94.27","91.25","12.89M","-2.83%"
"2023- 12- 19","93.93","92.64","93.99","92.61","8.78M","1.15%"
"2023- 12- 18","92.86","92.70","93.71","92.70","9.08M","-0.64%"
"2023- 12- 15","93.46","93.05","93.95","92.93","17.55M","-0.51%"
"2023- 12- 14","93.94","93.21","94.83","93.21","12.38M","1.20%"
"2023- 12- 13","92.83","91.17","92.87","90.78","9.78M","1.93%"
"2023- 12- 12","91.07","92.12","92.20","90.86","12.67M","-1.23%"
"2023- 12- 11","92.20","92.73","93.08","91.97","10.32M","-0.67%"
"2023- 12- 08","92.82","92.06","93.54","92.06","9.50M","0.51%"
"2023- 12- 07","92.35","91.80","93.39","91.65","10.03M","0.93%"
"2023- 12- 06","91.50","91.11","92.54","90.62","10.39M","0.78%"
"2023- 12- 05","90.79","91.61","91.78","89.93","12.31M","-1.33%"
"2023- 12- 04","92.01","91.90","92.41","91.61","12.58M","-0.62%"
"2023- 12- 01","92.58","92.74","92.84","91.77","11.90M","-0.12%"
"2023- 11- 30","92.69","93.55","93.86","92.20","13.00M","0.21%"
"2023- 11- 29","92.50","92.60","93.24","91.44","13.84M","0.00%"
"2023- 11- 28","92.50","95.00","95.14","92.44","16.35M","-2.81%"
"2023- 11- 27","95.17","95.74","95.74","94.51","11.04M","-0.93%"
"2023- 11- 24","96.06","94.90","96.51","94.90","5.44M","1.04%"
"2023- 11- 22","95.07","94.91","95.71","94.76","7.33M","0.66%"
"2023- 11- 21","94.45","94.73","94.96","93.96","7.44M","-0.61%"
"2023- 11- 20","95.03","93.98","95.58","93.87","12.06M","0.93%"
"2023- 11- 17","94.15","94.75","95.38","93.92","12.20M","-0.38%"
"2023- 11- 16","94.51","93.89","94.61","93.63","12.92M","0.62%"
"2023- 11- 15","93.93","92.99","94.57","92.74","20.59M","3.14%"
"2023- 11- 14","91.07","90.03","91.54","89.99","13.15M","1.82%"
"2023- 11- 13","89.44","88.42","89.90","87.41","12.73M","1.33%"
"2023- 11- 10","88.27","90.13","90.16","86.93","25.20M","-2.29%"
"2023- 11- 09","90.34","87.84","91.21","87.60","51.06M","6.91%"
"2023- 11- 08","84.50","84.14","84.92","83.95","21.50M","-0.11%"
"2023- 11- 07","84.59","84.15","84.68","83.95","10.54M","0.68%"
"2023- 11- 06","84.02","85.08","85.80","83.59","14.16M","-1.23%"
"2023- 11- 03","85.07","84.17","85.93","84.16","11.33M","2.14%"
"2023- 11- 02","83.29","81.85","83.30","81.82","11.40M","2.74%"
"2023- 11- 01","81.07","81.53","81.58","80.18","8.90M","-0.64%"
"2023- 10- 31","81.59","80.69","81.67","80.33","8.66M","1.13%"
"2023- 10- 30","80.68","79.72","80.93","79.53","10.22M","1.70%"
"2023- 10- 27","79.33","79.75","81.03","79.23","10.30M","-0.56%"
"2023- 10- 26","79.78","80.08","80.61","79.42","11.49M","-1.01%"
"2023- 10- 25","80.59","82.13","82.55","80.51","9.29M","-2.39%"
"2023- 10- 24","82.56","83.41","84.20","81.74","11.46M","-0.65%"
"2023- 10- 23","83.10","82.08","84.03","80.91","10.77M","0.54%"
"2023- 10- 20","82.65","82.90","83.44","82.61","10.27M","-0.72%"
"2023- 10- 19","83.25","85.26","85.27","83.17","14.17M","-1.69%"
"2023- 10- 18","84.68","85.69","86.26","84.60","9.89M","-1.76%"
"2023- 10- 17","86.20","85.35","86.29","85.31","9.92M","0.57%"
"2023- 10- 16","85.71","84.31","85.93","84.31","10.19M","1.61%"
"2023- 10- 13","84.35","83.94","84.58","83.38","10.71M","0.00%"
"2023- 10- 12","84.35","84.83","85.07","83.51","9.51M","-0.59%"
"2023- 10- 11","84.85","85.37","85.72","84.25","9.34M","-0.16%"
"2023- 10- 10","84.99","84.79","85.29","83.93","9.31M","0.34%"
"2023- 10- 09","84.70","84.30","84.88","83.13","13.60M","2.12%"
"2023- 10- 06","82.94","81.05","83.53","80.49","15.19M","2.64%"
"2023- 10- 05","80.81","79.10","80.94","78.88","15.39M","1.88%"
"2023- 10- 04","79.32","79.61","79.79","78.73","11.92M","-0.28%"
"2023- 10- 03","79.54","81.25","81.89","79.46","12.30M","-2.61%"
"2023- 10- 02","81.67","80.92","81.77","80.79","9.07M","0.76%"
"2023- 09- 29","81.05","80.66","81.33","80.41","11.26M","1.15%"
"2023- 09- 28","80.13","80.28","80.92","79.65","11.93M","0.29%"
"2023- 09- 27","79.90","80.12","80.56","79.21","14.50M","-0.19%"
"2023- 09- 26","80.05","80.50","80.74","79.79","14.79M","-1.19%"
"2023- 09- 25","81.01","81.56","81.77","80.56","10.97M","-0.30%"
"2023- 09- 22","81.25","82.91","83.35","81.20","11.50M","-1.79%"
"2023- 09- 21","82.73","82.06","83.67","81.92","14.31M","0.21%"
"2023- 09- 20","82.56","82.03","83.20","81.64","12.60M","0.76%"
"2023- 09- 19","81.94","83.92","84.79","81.71","21.13M","-3.62%"
"2023- 09- 18","85.02","85.24","85.92","84.98","11.79M","-0.65%"
"2023- 09- 15","85.58","85.22","86.19","84.61","21.63M","1.30%"
"2023- 09- 14","84.48","84.00","84.74","83.04","21.64M","1.20%"
"2023- 09- 13","83.48","83.35","84.04","83.12","9.69M","-0.24%"
"2023- 09- 12","83.68","83.03","84.67","82.57","16.43M","1.41%"
"2023- 09- 11","82.52","81.94","83.85","81.17","25.94M","1.15%"
"2023- 09- 08","81.58","80.54","81.67","80.17","15.98M","1.25%"
"2023- 09- 07","80.57","80.82","80.85","79.75","14.64M","-0.51%"
"2023- 09- 06","80.98","80.79","82.09","80.53","15.46M","-0.26%"
"2023- 09- 05","81.19","81.42","82.39","81.18","12.58M","-0.55%"
"2023- 09- 01","81.64","82.11","82.23","80.53","27.70M","-2.44%"
"2023- 08- 31","83.68","84.46","84.61","83.64","10.21M","-0.71%"
"2023- 08- 30","84.28","84.40","84.68","83.83","11.39M","-0.14%"
"2023- 08- 29","84.40","83.79","84.54","83.73","10.92M","0.29%"
"2023- 08- 28","84.16","83.83","84.68","83.53","11.93M","0.96%"
"2023- 08- 25","83.36","83.07","83.65","82.46","16.05M","1.08%"
"2023- 08- 24","82.47","85.51","85.95","82.46","27.10M","-3.91%"
"2023- 08- 23","85.83","85.81","86.32","85.64","7.46M","0.05%"
"2023- 08- 22","85.79","85.71","86.09","85.37","9.73M","-0.10%"
"2023- 08- 21","85.88","85.81","86.25","85.41","10.53M","-0.09%"
"2023- 08- 18","85.96","85.37","86.72","85.37","12.36M","0.05%"
"2023- 08- 17","85.92","86.92","86.96","85.80","13.56M","-0.50%"
"2023- 08- 16","86.35","86.54","87.06","86.08","12.03M","-0.82%"
"2023- 08- 15","87.06","87.99","88.23","86.89","13.58M","-1.97%"
"2023- 08- 14","88.81","88.99","89.30","87.99","13.37M","-0.24%"
"2023- 08- 11","89.02","91.32","91.35","88.86","22.00M","-2.99%"
"2023- 08- 10","91.76","89.97","92.53","87.75","55.61M","4.88%"
"2023- 08- 09","87.49","89.20","89.56","87.04","22.77M","-0.73%"
"2023- 08- 08","88.13","86.50","88.33","86.10","16.38M","1.50%"
"2023- 08- 07","86.83","86.66","87.23","85.99","10.74M","0.61%"
"2023- 08- 04","86.30","85.94","87.11","85.45","11.53M","0.95%"
"2023- 08- 03","85.49","85.82","86.46","85.45","14.00M","-0.94%"
"2023- 08- 02","86.30","88.26","88.33","86.26","15.07M","-3.07%"
"2023- 08- 01","89.03","89.12","89.73","88.46","13.53M","0.16%"
"2023- 07- 31","88.89","87.00","89.36","86.88","20.74M","3.20%"
"2023- 07- 28","86.13","85.86","86.58","85.44","13.64M","0.90%"
"2023- 07- 27","85.36","86.60","86.88","85.19","16.69M","-0.58%"
"2023- 07- 26","85.86","85.67","86.27","85.45","14.98M","0.27%"
"2023- 07- 25","85.63","85.73","86.31","85.16","15.34M","-1.12%"
"2023- 07- 24","86.60","87.49","87.96","86.55","13.91M","-0.67%"
"2023- 07- 21","87.18","86.29","87.90","85.88","19.90M","1.13%"
