"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 28","866.57","860.42","866.57","856.53","1.25B","0.79%"
"2023- 12- 27","859.79","851.49","860.29","851.21","1.22B","1.35%"
"2023- 12- 26","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"2023- 12- 22","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"2023- 12- 21","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"2023- 12- 20","862.98","861.96","865.02","860.56","1.12B","0.55%"
"2023- 12- 19","858.30","850.36","858.65","849.33","1.07B","0.86%"
"2023- 12- 18","850.96","844.78","854.07","843.61","802.09M","1.51%"
"2023- 12- 15","838.31","844.76","846.70","834.94","1.08B","-0.27%"
"2023- 12- 14","840.59","841.75","845.54","834.66","1.04B","1.36%"
"2023- 12- 13","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"2023- 12- 12","839.53","835.41","842.56","833.67","1.22B","0.51%"
"2023- 12- 11","835.25","831.83","839.15","831.64","930.37M","0.59%"
"2023- 12- 08","830.37","818.71","830.99","818.50","862.26M","2.11%"
"2023- 12- 07","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"2023- 12- 06","819.54","816.66","822.39","814.00","882.76M","0.76%"
"2023- 12- 05","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"2023- 12- 04","828.52","828.66","837.95","823.99","1.01B","0.15%"
"2023- 12- 01","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"2023- 11- 30","831.68","819.23","831.68","819.23","774.89M","1.12%"
"2023- 11- 29","822.44","817.90","823.81","812.95","916.37M","0.73%"
"2023- 11- 28","816.44","811.76","816.62","811.06","933.90M","0.76%"
"2023- 11- 27","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"2023- 11- 24","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"2023- 11- 23","815.98","816.16","819.91","813.25","909.85M","0.17%"
"2023- 11- 22","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"2023- 11- 21","817.01","816.34","819.14","811.24","897.45M","0.48%"
"2023- 11- 20","813.08","797.83","815.27","797.51","786.86M","1.75%"
"2023- 11- 17","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"2023- 11- 16","811.11","809.12","815.82","804.74","905.41M","0.22%"
"2023- 11- 15","809.36","808.68","813.06","805.27","816.59M","1.91%"
"2023- 11- 14","794.19","779.47","794.91","779.47","841.49M","2.55%"
"2023- 11- 13","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"2023- 11- 10","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"2023- 11- 09","802.87","813.89","814.92","797.44","921.92M","-1.00%"
"2023- 11- 08","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"2023- 11- 07","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"2023- 11- 06","839.45","794.49","839.45","793.72","849.33M","7.34%"
"2023- 11- 03","782.05","779.28","782.53","768.38","810.11M","1.19%"
"2023- 11- 02","772.84","753.37","773.39","753.37","794.26M","4.55%"
"2023- 11- 01","739.23","742.98","749.65","737.52","753.92M","0.43%"
"2023- 10- 31","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"2023- 10- 30","757.12","747.24","760.87","744.63","648.82M","1.15%"
"2023- 10- 27","748.49","749.87","760.51","738.92","665.63M","0.62%"
"2023- 10- 26","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"2023- 10- 25","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"2023- 10- 24","784.86","771.03","784.86","750.32","951.76M","2.77%"
"2023- 10- 23","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"2023- 10- 20","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"2023- 10- 19","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"2023- 10- 18","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"2023- 10- 17","820.38","817.47","825.33","817.29","948.11M","1.21%"
"2023- 10- 16","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"2023- 10- 13","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"2023- 10- 12","835.49","822.27","835.79","822.27","1.04B","2.25%"
"2023- 10- 11","817.12","805.03","821.83","805.03","856.19M","2.78%"
"2023- 10- 10","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"2023- 10- 06","816.39","803.88","818.37","803.88","776.64M","1.92%"
"2023- 10- 05","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"2023- 10- 04","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"2023- 09- 27","841.02","823.20","841.97","821.71","844.48M","1.59%"
