"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","33,464.17","33,458.64","33,652.71","33,305.17","890.36M","-0.22%"
"2023- 12- 28","33,539.62","33,477.47","33,571.73","33,411.24","733.10M","-0.42%"
"2023- 12- 27","33,681.24","33,532.97","33,755.75","33,521.52","936.83M","1.13%"
"2023- 12- 26","33,305.85","33,295.68","33,312.26","33,181.36","682.66M","0.16%"
"2023- 12- 25","33,254.03","33,414.51","33,414.51","33,221.57","589.43M","0.26%"
"2023- 12- 22","33,169.05","33,257.95","33,375.19","33,151.70","894.13M","0.09%"
"2023- 12- 21","33,140.47","33,276.81","33,337.84","33,097.79","955.77M","-1.59%"
"2023- 12- 20","33,675.94","33,467.32","33,824.06","33,467.32","1.18B","1.37%"
"2023- 12- 19","33,219.39","32,774.21","33,219.39","32,654.43","1.06B","1.41%"
"2023- 12- 18","32,758.98","32,769.23","32,790.58","32,541.23","1.07B","-0.64%"
"2023- 12- 15","32,970.55","32,760.56","33,122.33","32,732.66","1.41B","0.87%"
"2023- 12- 14","32,686.25","33,032.30","33,120.55","32,515.04","1.33B","-0.73%"
"2023- 12- 13","32,926.35","32,973.47","33,104.47","32,864.38","999.52M","0.25%"
"2023- 12- 12","32,843.70","33,107.65","33,172.13","32,800.24","980.67M","0.16%"
"2023- 12- 11","32,791.80","32,665.09","32,933.08","32,650.10","1.06B","1.50%"
"2023- 12- 08","32,307.86","32,600.47","32,604.35","32,205.38","1.44B","-1.68%"
"2023- 12- 07","32,858.31","33,165.72","33,195.87","32,814.69","1.05B","-1.76%"
"2023- 12- 06","33,445.90","32,928.92","33,452.13","32,914.09","912.04M","2.04%"
"2023- 12- 05","32,775.82","33,022.38","33,089.82","32,726.68","860.88M","-1.37%"
"2023- 12- 04","33,231.27","33,318.07","33,324.38","33,023.04","873.02M","-0.60%"
"2023- 12- 01","33,431.51","33,537.44","33,551.57","33,397.42","875.99M","-0.17%"
"2023- 11- 30","33,486.89","33,260.14","33,486.89","33,161.07","1.52B","0.50%"
"2023- 11- 29","33,321.22","33,244.43","33,516.23","33,179.07","892.29M","-0.26%"
"2023- 11- 28","33,408.39","33,520.39","33,545.85","33,298.04","840.97M","-0.12%"
"2023- 11- 27","33,447.67","33,710.03","33,811.41","33,397.04","827.18M","-0.53%"
"2023- 11- 24","33,625.53","33,752.05","33,817.86","33,622.57","806.95M","0.52%"
"2023- 11- 22","33,451.83","33,182.99","33,593.50","33,182.99","756.23M","0.29%"
"2023- 11- 21","33,354.14","33,453.15","33,460.32","33,254.73","919.15M","-0.10%"
"2023- 11- 20","33,388.03","33,559.62","33,853.46","33,352.69","948.80M","-0.59%"
"2023- 11- 17","33,585.20","33,344.85","33,599.63","33,263.67","932.14M","0.48%"
"2023- 11- 16","33,424.41","33,399.59","33,614.13","33,233.84","941.90M","-0.28%"
"2023- 11- 15","33,519.70","33,112.31","33,556.52","33,096.93","1.24B","2.52%"
"2023- 11- 14","32,695.93","32,760.51","32,836.27","32,667.40","880.91M","0.34%"
"2023- 11- 13","32,585.11","32,818.15","32,913.31","32,499.28","905.95M","0.05%"
"2023- 11- 10","32,568.11","32,491.24","32,598.93","32,248.24","1.11B","-0.24%"
"2023- 11- 09","32,646.46","32,316.39","32,723.71","32,193.20","1.16B","1.49%"
"2023- 11- 08","32,166.48","32,457.23","32,512.17","32,049.34","1.56B","-0.33%"
"2023- 11- 07","32,271.82","32,551.77","32,591.11","32,250.93","1.07B","-1.34%"
"2023- 11- 06","32,708.48","32,450.82","32,766.54","32,395.50","1.39B","2.37%"
"2023- 11- 02","31,949.89","31,987.02","32,087.13","31,878.36","1.21B","1.10%"
"2023- 11- 01","31,601.65","31,311.22","31,601.65","31,301.51","1.30B","2.41%"
"2023- 10- 31","30,858.85","30,694.96","30,973.66","30,552.65","1.34B","0.53%"
"2023- 10- 30","30,696.96","30,663.48","30,762.50","30,538.29","1.87B","-0.95%"
"2023- 10- 27","30,991.69","30,713.79","31,081.48","30,687.33","891.07M","1.27%"
"2023- 10- 26","30,601.78","30,902.92","30,943.33","30,567.61","855.53M","-2.14%"
"2023- 10- 25","31,269.92","31,302.51","31,466.92","31,195.58","786.64M","0.67%"
"2023- 10- 24","31,062.35","31,157.01","31,210.26","30,551.67","979.03M","0.20%"
"2023- 10- 23","30,999.55","31,151.98","31,177.41","30,974.26","735.27M","-0.83%"
"2023- 10- 20","31,259.36","31,164.89","31,428.97","31,093.90","845.41M","-0.54%"
"2023- 10- 19","31,430.62","31,579.54","31,669.42","31,399.17","807.31M","-1.91%"
"2023- 10- 18","32,042.25","32,033.81","32,101.47","31,866.95","832.03M","0.01%"
"2023- 10- 17","32,040.29","32,063.79","32,260.77","31,901.39","756.18M","1.20%"
"2023- 10- 16","31,659.03","31,983.04","31,999.79","31,564.31","845.12M","-2.03%"
"2023- 10- 13","32,315.99","32,328.39","32,533.08","32,249.03","915.45M","-0.55%"
"2023- 10- 12","32,494.66","32,120.94","32,494.66","32,120.94","1.01B","1.75%"
"2023- 10- 11","31,936.51","31,847.10","32,037.07","31,804.09","895.07M","0.60%"
