"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","495.22","498.13","499.97","487.51","38.93M","0.00%"
"2023- 12- 28","495.22","496.43","498.84","494.12","24.44M","0.21%"
"2023- 12- 27","494.17","495.11","496.80","490.85","23.22M","0.28%"
"2023- 12- 26","492.79","489.68","496.00","489.60","24.28M","0.92%"
"2023- 12- 22","488.30","491.95","493.83","484.67","25.25M","-0.33%"
"2023- 12- 21","489.90","488.11","490.95","484.19","29.92M","1.83%"
"2023- 12- 20","481.11","496.55","499.99","480.98","39.40M","-3.01%"
"2023- 12- 19","496.04","494.24","497.00","488.95","46.31M","-0.94%"
"2023- 12- 18","500.77","494.00","504.33","491.50","41.26M","2.43%"
"2023- 12- 15","488.90","481.94","494.04","481.20","47.99M","1.12%"
"2023- 12- 14","483.50","483.90","486.70","474.22","38.16M","0.54%"
"2023- 12- 13","480.88","476.29","485.94","476.08","43.61M","0.90%"
"2023- 12- 12","476.57","460.46","476.66","460.46","36.99M","2.21%"
"2023- 12- 11","466.27","474.91","475.31","458.30","50.11M","-1.85%"
"2023- 12- 08","475.06","465.95","477.41","465.50","35.92M","1.95%"
"2023- 12- 07","465.96","457.00","466.29","456.04","34.17M","2.40%"
"2023- 12- 06","455.03","472.14","473.87","454.12","38.06M","-2.28%"
"2023- 12- 05","465.66","454.66","466.00","452.71","36.22M","2.32%"
"2023- 12- 04","455.10","460.77","460.77","450.10","42.88M","-2.68%"
"2023- 12- 01","467.65","465.25","472.00","461.87","36.93M","-0.01%"
"2023- 11- 30","467.70","480.24","481.10","464.22","52.04M","-2.85%"
"2023- 11- 29","481.40","483.79","487.62","478.60","36.04M","0.67%"
"2023- 11- 28","478.21","482.36","483.23","474.73","38.95M","-0.87%"
"2023- 11- 27","482.42","478.00","485.30","476.52","39.39M","0.98%"
"2023- 11- 24","477.76","484.70","489.21","477.45","29.38M","-1.93%"
"2023- 11- 22","487.16","498.52","503.35","476.90","90.06M","-2.46%"
"2023- 11- 21","499.44","501.26","505.17","492.22","56.57M","-0.92%"
"2023- 11- 20","504.09","493.12","505.48","491.81","41.61M","2.25%"
"2023- 11- 17","492.98","495.24","497.17","490.07","32.59M","-0.37%"
"2023- 11- 16","494.80","486.79","495.25","483.30","33.48M","1.21%"
"2023- 11- 15","488.88","499.35","499.60","482.00","47.13M","-1.55%"
"2023- 11- 14","496.56","496.80","498.34","490.40","41.35M","2.13%"
"2023- 11- 13","486.20","483.20","491.16","480.99","38.18M","0.59%"
"2023- 11- 10","483.35","475.00","484.72","472.83","42.24M","2.95%"
"2023- 11- 09","469.50","474.67","482.30","467.50","53.44M","0.81%"
"2023- 11- 08","465.74","461.00","468.67","459.68","34.44M","1.35%"
"2023- 11- 07","459.55","457.19","462.18","451.58","34.14M","0.45%"
"2023- 11- 06","457.51","452.85","459.35","448.99","39.89M","1.66%"
"2023- 11- 03","450.05","440.20","453.09","437.23","42.46M","3.45%"
"2023- 11- 02","435.06","433.28","438.84","428.94","39.82M","2.79%"
"2023- 11- 01","423.25","408.84","423.81","408.69","43.76M","3.79%"
"2023- 10- 31","407.80","404.50","408.79","392.30","51.38M","-0.93%"
"2023- 10- 30","411.61","410.87","422.82","404.81","38.31M","1.63%"
"2023- 10- 27","405.00","411.30","412.06","400.15","41.68M","0.43%"
"2023- 10- 26","403.26","418.53","422.56","398.80","53.15M","-3.48%"
"2023- 10- 25","417.79","433.98","436.50","415.55","38.40M","-4.31%"
"2023- 10- 24","436.63","430.77","436.97","426.91","38.37M","1.60%"
"2023- 10- 23","429.75","412.29","432.48","409.45","47.29M","3.84%"
"2023- 10- 20","413.87","418.90","424.70","410.78","47.73M","-1.70%"
"2023- 10- 19","421.01","428.11","432.97","418.82","48.97M","-0.23%"
"2023- 10- 18","421.96","425.91","432.19","418.25","62.31M","-3.96%"
"2023- 10- 17","439.38","440.00","447.54","424.80","80.76M","-4.68%"
"2023- 10- 16","460.95","450.63","462.25","449.12","37.10M","1.39%"
"2023- 10- 13","454.61","469.60","471.16","452.80","47.54M","-3.16%"
"2023- 10- 12","469.45","467.77","476.09","463.30","47.98M","0.30%"
"2023- 10- 11","468.06","461.96","468.59","460.50","37.48M","2.20%"
"2023- 10- 10","457.98","453.10","462.59","450.88","35.96M","1.16%"
"2023- 10- 09","452.73","448.42","456.05","443.68","40.97M","-1.07%"
"2023- 10- 06","457.62","441.93","457.89","440.26","43.44M","2.40%"
"2023- 10- 05","446.88","440.50","449.00","438.88","39.21M","1.47%"
"2023- 10- 04","440.41","437.42","441.43","432.92","36.01M","1.20%"
"2023- 10- 03","435.17","448.08","451.30","432.46","46.83M","-2.82%"
"2023- 10- 02","447.82","440.30","451.75","438.61","43.33M","2.95%"
"2023- 09- 29","434.99","438.27","441.44","433.07","39.78M","0.95%"
"2023- 09- 28","430.89","424.60","434.46","421.15","42.17M","1.46%"
