COMPANY_NAME,BASE_DATE,STOCK_PRICE
nasdaq,2023-12-29,15011.35
nasdaq,2023-12-28,15095.14
nasdaq,2023-12-27,15099.18
nasdaq,2023-12-26,15074.57
nasdaq,2023-12-22,14992.97
nasdaq,2023-12-21,14963.87
nasdaq,2023-12-20,14777.94
nasdaq,2023-12-19,15003.22
nasdaq,2023-12-18,14905.19
nasdaq,2023-12-15,14813.92
nasdaq,2023-12-14,14761.56
nasdaq,2023-12-13,14733.96
nasdaq,2023-12-12,14533.4
nasdaq,2023-12-11,14432.49
nasdaq,2023-12-08,14403.97
nasdaq,2023-12-07,14339.99
nasdaq,2023-12-06,14146.71
nasdaq,2023-12-05,14229.91
nasdaq,2023-12-04,14185.49
nasdaq,2023-12-01,14305.03
nasdaq,2023-11-30,14226.22
nasdaq,2023-11-29,14258.49
nasdaq,2023-11-28,14281.76
nasdaq,2023-11-27,14241.02
nasdaq,2023-11-24,14250.85
nasdaq,2023-11-22,14265.86
nasdaq,2023-11-21,14199.98
nasdaq,2023-11-20,14284.53
nasdaq,2023-11-17,14125.48
nasdaq,2023-11-16,14113.67
nasdaq,2023-11-15,14103.84
nasdaq,2023-11-14,14094.38
nasdaq,2023-11-13,13767.74
nasdaq,2023-11-10,13798.11
nasdaq,2023-11-09,13521.45
nasdaq,2023-11-08,13650.41
nasdaq,2023-11-07,13639.86
nasdaq,2023-11-06,13518.78
nasdaq,2023-11-03,13478.28
nasdaq,2023-11-02,13294.19
nasdaq,2023-11-01,13061.47
nasdaq,2023-10-31,12851.24
nasdaq,2023-10-30,12789.48
nasdaq,2023-10-27,12643.01
nasdaq,2023-10-26,12595.6
nasdaq,2023-10-25,12821.22
nasdaq,2023-10-24,13139.88
nasdaq,2023-10-23,13018.33
nasdaq,2023-10-20,12983.81
nasdaq,2023-10-19,13186.17
nasdaq,2023-10-18,13314.3
nasdaq,2023-10-17,13533.75
nasdaq,2023-10-16,13567.98
nasdaq,2023-10-13,13407.23
nasdaq,2023-10-12,13574.22
nasdaq,2023-10-11,13659.68
nasdaq,2023-10-10,13562.84
nasdaq,2023-10-09,13484.24
nasdaq,2023-10-06,13431.34
nasdaq,2023-10-05,13219.83
nasdaq,2023-10-04,13236.01
nasdaq,2023-10-03,13059.47
nasdaq,2023-10-02,13307.77
nasdaq,2023-09-29,13219.32
nasdaq,2023-09-28,13201.28
nasdaq,2023-09-27,13092.85
nasdaq,2023-09-26,13063.61
nasdaq,2023-09-25,13271.32
nasdaq,2023-09-22,13211.81
nasdaq,2023-09-21,13223.99
nasdaq,2023-09-20,13469.13
nasdaq,2023-09-19,13678.19
nasdaq,2023-09-18,13710.24
nasdaq,2023-09-15,13708.33
nasdaq,2023-09-14,13926.05
nasdaq,2023-09-13,13813.58
nasdaq,2023-09-12,13773.61
nasdaq,2023-09-11,13917.89
nasdaq,2023-09-08,13761.53
nasdaq,2023-09-07,13748.83
nasdaq,2023-09-06,13872.47
nasdaq,2023-09-05,14020.95
nasdaq,2023-09-01,14031.82
nasdaq,2023-08-31,14034.97
nasdaq,2023-08-30,14019.31
nasdaq,2023-08-29,13943.76
nasdaq,2023-08-28,13705.13
nasdaq,2023-08-25,13590.65
nasdaq,2023-08-24,13463.97
nasdaq,2023-08-23,13721.03
nasdaq,2023-08-22,13505.87
nasdaq,2023-08-21,13497.59
nasdaq,2023-08-18,13290.78
nasdaq,2023-08-17,13316.93
nasdaq,2023-08-16,13474.63
nasdaq,2023-08-15,13631.05
nasdaq,2023-08-14,13788.33
nasdaq,2023-08-11,13644.85
nasdaq,2023-08-10,13721.03
nasdaq,2023-08-09,13705.08
nasdaq,2023-08-08,13867.19
nasdaq,2023-08-07,13977.12
nasdaq,2023-08-04,13892.07
nasdaq,2023-08-03,13959.72
nasdaq,2023-08-02,13973.45
nasdaq,2023-08-01,14283.91
nasdaq,2023-07-31,14346.02
nasdaq,2023-07-28,14316.66
nasdaq,2023-07-27,14050.11
nasdaq,2023-07-26,14127.28
nasdaq,2023-07-25,14144.56
nasdaq,2023-07-24,14058.87
nasdaq,2023-07-21,14032.81
nasdaq,2023-07-20,14063.31
nasdaq,2023-07-19,14358.02
nasdaq,2023-07-18,14353.64
nasdaq,2023-07-17,14244.95
nasdaq,2023-07-14,14113.7
nasdaq,2023-07-13,14138.57
nasdaq,2023-07-12,13918.96
nasdaq,2023-07-11,13760.7
nasdaq,2023-07-10,13685.48
nasdaq,2023-07-07,13660.72
nasdaq,2023-07-06,13679.04
nasdaq,2023-07-05,13791.65
nasdaq,2023-07-03,13816.77
nasdaq,2023-06-30,13787.92
nasdaq,2023-06-29,13591.33
nasdaq,2023-06-28,13591.75
nasdaq,2023-06-27,13555.67
nasdaq,2023-06-26,13335.78
nasdaq,2023-06-23,13492.52
nasdaq,2023-06-22,13630.61
nasdaq,2023-06-21,13502.2
nasdaq,2023-06-20,13667.29
nasdaq,2023-06-16,13689.57
nasdaq,2023-06-15,13782.82
nasdaq,2023-06-14,13626.48
nasdaq,2023-06-13,13573.32
nasdaq,2023-06-12,13461.92
nasdaq,2023-06-09,13259.14
nasdaq,2023-06-08,13238.52
nasdaq,2023-06-07,13104.9
nasdaq,2023-06-06,13276.42
nasdaq,2023-06-05,13229.43
nasdaq,2023-06-02,13240.77
nasdaq,2023-06-01,13100.98
nasdaq,2023-05-31,12935.28
nasdaq,2023-05-30,13017.43
nasdaq,2023-05-26,12975.69
nasdaq,2023-05-25,12698.09
nasdaq,2023-05-24,12484.16
nasdaq,2023-05-23,12560.25
nasdaq,2023-05-22,12720.78
nasdaq,2023-05-19,12657.9
nasdaq,2023-05-18,12688.84
nasdaq,2023-05-17,12500.57
nasdaq,2023-05-16,12343.05
nasdaq,2023-05-15,12365.21
nasdaq,2023-05-12,12284.74
nasdaq,2023-05-11,12328.51
nasdaq,2023-05-10,12306.44
nasdaq,2023-05-09,12179.55
nasdaq,2023-05-08,12256.92
nasdaq,2023-05-05,12235.41
nasdaq,2023-05-04,11966.4
nasdaq,2023-05-03,12025.33
nasdaq,2023-05-02,12080.51
nasdaq,2023-05-01,12212.6
nasdaq,2023-04-28,12226.58
nasdaq,2023-04-27,12142.24
nasdaq,2023-04-26,11854.35
nasdaq,2023-04-25,11799.16
nasdaq,2023-04-24,12037.2
nasdaq,2023-04-21,12072.46
nasdaq,2023-04-20,12059.56
nasdaq,2023-04-19,12157.23
nasdaq,2023-04-18,12153.41
nasdaq,2023-04-17,12157.72
nasdaq,2023-04-14,12123.47
nasdaq,2023-04-13,12166.27
nasdaq,2023-04-12,11929.34
nasdaq,2023-04-11,12031.88
nasdaq,2023-04-10,12084.35
nasdaq,2023-04-06,12087.96
nasdaq,2023-04-05,11996.86
nasdaq,2023-04-04,12126.33
nasdaq,2023-04-03,12189.45
nasdaq,2023-03-31,12221.91
nasdaq,2023-03-30,12013.47
nasdaq,2023-03-29,11926.24
nasdaq,2023-03-28,11716.08
nasdaq,2023-03-27,11768.84
nasdaq,2023-03-24,11823.96
nasdaq,2023-03-23,11787.4
nasdaq,2023-03-22,11669.96
nasdaq,2023-03-21,11860.11
nasdaq,2023-03-20,11675.54
nasdaq,2023-03-17,11630.51
nasdaq,2023-03-16,11717.28
nasdaq,2023-03-15,11434.05
nasdaq,2023-03-14,11428.15
nasdaq,2023-03-13,11188.84
nasdaq,2023-03-10,11138.89
nasdaq,2023-03-09,11338.35
nasdaq,2023-03-08,11576.0
nasdaq,2023-03-07,11530.33
nasdaq,2023-03-06,11675.74
nasdaq,2023-03-03,11689.01
nasdaq,2023-03-02,11462.98
nasdaq,2023-03-01,11379.48
nasdaq,2023-02-28,11455.54
nasdaq,2023-02-27,11466.98
nasdaq,2023-02-24,11394.94
nasdaq,2023-02-23,11590.4
nasdaq,2023-02-22,11507.07
nasdaq,2023-02-21,11492.3
nasdaq,2023-02-17,11787.27
nasdaq,2023-02-16,11855.83
nasdaq,2023-02-15,12070.59
nasdaq,2023-02-14,11960.15
nasdaq,2023-02-13,11891.79
nasdaq,2023-02-10,11718.12
nasdaq,2023-02-09,11789.58
nasdaq,2023-02-08,11910.52
nasdaq,2023-02-07,12113.79
nasdaq,2023-02-06,11887.45
nasdaq,2023-02-03,12006.95
nasdaq,2023-02-02,12200.82
nasdaq,2023-02-01,11816.32
nasdaq,2023-01-31,11584.55
nasdaq,2023-01-30,11393.81
nasdaq,2023-01-27,11621.71
nasdaq,2023-01-26,11512.41
nasdaq,2023-01-25,11313.36
nasdaq,2023-01-24,11334.27
nasdaq,2023-01-23,11364.41
nasdaq,2023-01-20,11140.43
nasdaq,2023-01-19,10852.27
nasdaq,2023-01-18,10957.01
nasdaq,2023-01-17,11095.11
nasdaq,2023-01-13,11079.16
nasdaq,2023-01-12,11001.1
nasdaq,2023-01-11,10931.67
nasdaq,2023-01-10,10742.63
nasdaq,2023-01-09,10635.65
nasdaq,2023-01-06,10569.29
nasdaq,2023-01-05,10305.24
nasdaq,2023-01-04,10458.76
nasdaq,2023-01-03,10386.99
nasdaq,2022-12-30,10466.48
