COMPANY_NAME,BASE_DATE,STOCK_PRICE
nikkei,2023-12-29,214.25
nikkei,2023-12-28,214.73
nikkei,2023-12-27,215.64
nikkei,2023-12-26,213.24
nikkei,2023-12-25,212.9
nikkei,2023-12-22,212.36
nikkei,2023-12-21,212.18
nikkei,2023-12-20,215.6
nikkei,2023-12-19,212.68
nikkei,2023-12-18,209.73
nikkei,2023-12-15,211.09
nikkei,2023-12-14,209.27
nikkei,2023-12-13,210.81
nikkei,2023-12-12,210.28
nikkei,2023-12-11,209.94
nikkei,2023-12-08,206.85
nikkei,2023-12-07,210.37
nikkei,2023-12-06,214.13
nikkei,2023-12-05,209.84
nikkei,2023-12-04,212.76
nikkei,2023-12-01,214.04
nikkei,2023-11-30,214.39
nikkei,2023-11-29,213.33
nikkei,2023-11-28,213.89
nikkei,2023-11-27,214.14
nikkei,2023-11-24,215.28
nikkei,2023-11-22,214.17
nikkei,2023-11-21,213.54
nikkei,2023-11-20,213.76
nikkei,2023-11-17,215.02
nikkei,2023-11-16,213.99
nikkei,2023-11-15,214.6
nikkei,2023-11-14,209.33
nikkei,2023-11-13,208.62
nikkei,2023-11-10,208.51
nikkei,2023-11-09,209.01
nikkei,2023-11-08,205.94
nikkei,2023-11-07,206.61
nikkei,2023-11-06,209.41
nikkei,2023-11-02,204.55
nikkei,2023-11-01,202.32
nikkei,2023-10-31,197.57
nikkei,2023-10-30,196.53
nikkei,2023-10-27,198.42
nikkei,2023-10-26,195.92
nikkei,2023-10-25,200.2
nikkei,2023-10-24,198.87
nikkei,2023-10-23,198.47
nikkei,2023-10-20,200.13
nikkei,2023-10-19,201.23
nikkei,2023-10-18,205.15
nikkei,2023-10-17,205.13
nikkei,2023-10-16,202.69
nikkei,2023-10-13,206.9
nikkei,2023-10-12,208.04
nikkei,2023-10-11,204.47
nikkei,2023-10-10,203.25
nikkei,2023-10-06,198.44
nikkei,2023-10-05,198.95
nikkei,2023-10-04,195.44
nikkei,2023-10-03,200.0
nikkei,2023-10-02,203.34
nikkei,2023-09-29,203.96
nikkei,2023-09-28,204.06
nikkei,2023-09-27,207.26
nikkei,2023-09-26,206.89
nikkei,2023-09-25,209.22
nikkei,2023-09-22,207.45
nikkei,2023-09-21,208.53
nikkei,2023-09-20,211.43
nikkei,2023-09-19,212.83
nikkei,2023-09-15,214.69
nikkei,2023-09-14,212.35
nikkei,2023-09-13,209.4
nikkei,2023-09-12,209.85
nikkei,2023-09-11,207.87
nikkei,2023-09-08,208.76
nikkei,2023-09-07,211.22
nikkei,2023-09-06,212.82
nikkei,2023-09-05,211.51
nikkei,2023-09-04,210.89
nikkei,2023-09-01,209.42
nikkei,2023-08-31,208.84
nikkei,2023-08-30,207.01
nikkei,2023-08-29,206.33
nikkei,2023-08-28,205.96
nikkei,2023-08-25,202.47
nikkei,2023-08-24,206.71
nikkei,2023-08-23,204.94
nikkei,2023-08-22,203.96
nikkei,2023-08-21,202.09
nikkei,2023-08-18,201.36
nikkei,2023-08-17,202.48
nikkei,2023-08-16,203.38
nikkei,2023-08-15,206.4
nikkei,2023-08-14,205.26
nikkei,2023-08-10,207.91
nikkei,2023-08-09,206.18
nikkei,2023-08-08,207.29
nikkei,2023-08-07,206.5
nikkei,2023-08-04,206.11
nikkei,2023-08-03,205.89
nikkei,2023-08-02,209.41
nikkei,2023-08-01,214.33
nikkei,2023-07-31,212.38
nikkei,2023-07-28,209.74
nikkei,2023-07-27,210.58
nikkei,2023-07-26,209.15
nikkei,2023-07-25,209.24
nikkei,2023-07-24,209.36
nikkei,2023-07-21,206.82
nikkei,2023-07-20,208.02
nikkei,2023-07-19,210.61
nikkei,2023-07-18,208.04
nikkei,2023-07-14,207.38
nikkei,2023-07-13,207.56
nikkei,2023-07-12,204.52
nikkei,2023-07-11,206.18
nikkei,2023-07-10,206.09
nikkei,2023-07-07,207.36
nikkei,2023-07-06,209.82
nikkei,2023-07-05,213.45
nikkei,2023-07-04,213.98
nikkei,2023-07-03,216.1
nikkei,2023-06-30,212.49
nikkei,2023-06-29,212.78
nikkei,2023-06-28,212.52
nikkei,2023-06-27,208.32
nikkei,2023-06-26,209.35
nikkei,2023-06-23,209.88
nikkei,2023-06-22,212.97
nikkei,2023-06-21,214.96
nikkei,2023-06-20,213.77
nikkei,2023-06-19,213.65
nikkei,2023-06-16,215.8
nikkei,2023-06-15,214.39
nikkei,2023-06-14,214.49
nikkei,2023-06-13,211.4
nikkei,2023-06-12,207.65
nikkei,2023-06-09,206.57
nikkei,2023-06-08,202.58
nikkei,2023-06-07,204.32
nikkei,2023-06-06,208.12
nikkei,2023-06-05,206.27
nikkei,2023-06-02,201.83
nikkei,2023-06-01,199.42
nikkei,2023-05-31,197.75
nikkei,2023-05-30,200.57
nikkei,2023-05-29,199.97
nikkei,2023-05-26,197.94
nikkei,2023-05-25,197.2
nikkei,2023-05-24,196.44
nikkei,2023-05-23,198.2
nikkei,2023-05-22,199.03
nikkei,2023-05-19,197.25
nikkei,2023-05-18,195.74
nikkei,2023-05-17,192.67
nikkei,2023-05-16,191.06
nikkei,2023-05-15,189.68
nikkei,2023-05-12,188.15
nikkei,2023-05-11,186.48
nikkei,2023-05-10,186.45
nikkei,2023-05-09,187.22
nikkei,2023-05-08,185.35
nikkei,2023-05-02,186.68
nikkei,2023-05-01,186.46
nikkei,2023-04-28,184.75
nikkei,2023-04-27,182.2
nikkei,2023-04-26,181.93
nikkei,2023-04-25,183.24
nikkei,2023-04-24,183.07
nikkei,2023-04-21,182.88
