COMPANY_NAME,BASE_DATE,STOCK_PRICE
nvidia,2023-12-29,495.22
nvidia,2023-12-28,495.22
nvidia,2023-12-27,494.17
nvidia,2023-12-26,492.79
nvidia,2023-12-22,488.3
nvidia,2023-12-21,489.9
nvidia,2023-12-20,481.11
nvidia,2023-12-19,496.04
nvidia,2023-12-18,500.77
nvidia,2023-12-15,488.9
nvidia,2023-12-14,483.5
nvidia,2023-12-13,480.88
nvidia,2023-12-12,476.57
nvidia,2023-12-11,466.27
nvidia,2023-12-08,475.06
nvidia,2023-12-07,465.96
nvidia,2023-12-06,455.03
nvidia,2023-12-05,465.66
nvidia,2023-12-04,455.1
nvidia,2023-12-01,467.65
nvidia,2023-11-30,467.7
nvidia,2023-11-29,481.4
nvidia,2023-11-28,478.21
nvidia,2023-11-27,482.42
nvidia,2023-11-24,477.76
nvidia,2023-11-22,487.16
nvidia,2023-11-21,499.44
nvidia,2023-11-20,504.09
nvidia,2023-11-17,492.98
nvidia,2023-11-16,494.8
nvidia,2023-11-15,488.88
nvidia,2023-11-14,496.56
nvidia,2023-11-13,486.2
nvidia,2023-11-10,483.35
nvidia,2023-11-09,469.5
nvidia,2023-11-08,465.74
nvidia,2023-11-07,459.55
nvidia,2023-11-06,457.51
nvidia,2023-11-03,450.05
nvidia,2023-11-02,435.06
nvidia,2023-11-01,423.25
nvidia,2023-10-31,407.8
nvidia,2023-10-30,411.61
nvidia,2023-10-27,405.0
nvidia,2023-10-26,403.26
nvidia,2023-10-25,417.79
nvidia,2023-10-24,436.63
nvidia,2023-10-23,429.75
nvidia,2023-10-20,413.87
nvidia,2023-10-19,421.01
nvidia,2023-10-18,421.96
nvidia,2023-10-17,439.38
nvidia,2023-10-16,460.95
nvidia,2023-10-13,454.61
nvidia,2023-10-12,469.45
nvidia,2023-10-11,468.06
nvidia,2023-10-10,457.98
nvidia,2023-10-09,452.73
nvidia,2023-10-06,457.62
nvidia,2023-10-05,446.88
nvidia,2023-10-04,440.41
nvidia,2023-10-03,435.17
nvidia,2023-10-02,447.82
nvidia,2023-09-29,434.99
nvidia,2023-09-28,430.89
nvidia,2023-09-27,424.68
nvidia,2023-09-26,419.11
nvidia,2023-09-25,422.22
nvidia,2023-09-22,416.1
nvidia,2023-09-21,410.17
nvidia,2023-09-20,422.39
nvidia,2023-09-19,435.2
nvidia,2023-09-18,439.66
nvidia,2023-09-15,439.0
nvidia,2023-09-14,455.81
nvidia,2023-09-13,454.85
nvidia,2023-09-12,448.7
nvidia,2023-09-11,451.78
nvidia,2023-09-08,455.72
nvidia,2023-09-07,462.41
nvidia,2023-09-06,470.61
nvidia,2023-09-05,485.48
nvidia,2023-09-01,485.09
nvidia,2023-08-31,493.55
nvidia,2023-08-30,492.64
nvidia,2023-08-29,487.84
nvidia,2023-08-28,468.35
nvidia,2023-08-25,460.18
nvidia,2023-08-24,471.63
nvidia,2023-08-23,471.16
nvidia,2023-08-22,456.68
nvidia,2023-08-21,469.67
nvidia,2023-08-18,432.99
nvidia,2023-08-17,433.43
nvidia,2023-08-16,434.86
nvidia,2023-08-15,439.4
nvidia,2023-08-14,437.53
nvidia,2023-08-11,408.55
nvidia,2023-08-10,423.88
nvidia,2023-08-09,425.54
nvidia,2023-08-08,446.64
nvidia,2023-08-07,454.17
nvidia,2023-08-04,446.8
nvidia,2023-08-03,445.15
nvidia,2023-08-02,442.69
nvidia,2023-08-01,465.07
nvidia,2023-07-31,467.29
nvidia,2023-07-28,467.5
nvidia,2023-07-27,459.0
nvidia,2023-07-26,454.52
nvidia,2023-07-25,456.79
nvidia,2023-07-24,446.12
nvidia,2023-07-21,443.09
nvidia,2023-07-20,455.2
nvidia,2023-07-19,470.77
nvidia,2023-07-18,474.94
nvidia,2023-07-17,464.61
nvidia,2023-07-14,454.69
nvidia,2023-07-13,459.77
nvidia,2023-07-12,439.02
nvidia,2023-07-11,424.05
nvidia,2023-07-10,421.8
nvidia,2023-07-07,425.03
nvidia,2023-07-06,421.03
nvidia,2023-07-05,423.17
nvidia,2023-07-03,424.13
nvidia,2023-06-30,423.02
nvidia,2023-06-29,408.22
nvidia,2023-06-28,411.17
nvidia,2023-06-27,418.76
nvidia,2023-06-26,406.32
nvidia,2023-06-23,422.09
nvidia,2023-06-22,430.25
nvidia,2023-06-21,430.45
nvidia,2023-06-20,438.08
nvidia,2023-06-16,426.92
nvidia,2023-06-15,426.53
nvidia,2023-06-14,429.97
nvidia,2023-06-13,410.22
nvidia,2023-06-12,394.82
nvidia,2023-06-09,387.7
nvidia,2023-06-08,385.1
nvidia,2023-06-07,374.75
nvidia,2023-06-06,386.54
nvidia,2023-06-05,391.71
nvidia,2023-06-02,393.27
nvidia,2023-06-01,397.7
nvidia,2023-05-31,378.34
nvidia,2023-05-30,401.11
nvidia,2023-05-26,389.46
nvidia,2023-05-25,379.8
nvidia,2023-05-24,305.38
nvidia,2023-05-23,306.88
nvidia,2023-05-22,311.76
nvidia,2023-05-19,312.64
nvidia,2023-05-18,316.78
nvidia,2023-05-17,301.78
nvidia,2023-05-16,292.13
nvidia,2023-05-15,289.53
