COMPANY_NAME,BASE_DATE,STOCK_PRICE
szi,2023-12-29,411.91
szi,2023-12-28,409.11
szi,2023-12-27,403.56
szi,2023-12-26,401.38
szi,2023-12-25,404.14
szi,2023-12-22,403.58
szi,2023-12-21,404.12
szi,2023-12-20,401.83
szi,2023-12-19,406.02
szi,2023-12-18,405.8
szi,2023-12-15,407.43
szi,2023-12-14,409.7
szi,2023-12-13,411.05
szi,2023-12-12,415.86
szi,2023-12-11,414.19
szi,2023-12-08,411.17
szi,2023-12-07,410.7
szi,2023-12-06,411.08
szi,2023-12-05,411.54
szi,2023-12-04,418.55
szi,2023-12-01,419.76
szi,2023-11-30,419.49
szi,2023-11-29,418.38
szi,2023-11-28,420.72
szi,2023-11-27,419.77
szi,2023-11-24,421.05
szi,2023-11-23,423.95
szi,2023-11-22,421.42
szi,2023-11-21,424.79
szi,2023-11-20,424.84
szi,2023-11-17,422.91
szi,2023-11-16,422.43
szi,2023-11-15,425.46
szi,2023-11-14,423.14
szi,2023-11-13,421.82
szi,2023-11-10,420.78
szi,2023-11-09,422.76
szi,2023-11-08,422.63
szi,2023-11-07,423.31
szi,2023-11-06,423.47
szi,2023-11-03,419.64
szi,2023-11-02,416.68
szi,2023-11-01,418.58
szi,2023-10-31,417.98
szi,2023-10-30,418.36
szi,2023-10-27,417.84
szi,2023-10-26,413.76
szi,2023-10-25,411.8
szi,2023-10-24,410.15
szi,2023-10-23,406.97
szi,2023-10-20,413.03
szi,2023-10-19,416.13
szi,2023-10-18,423.51
szi,2023-10-17,426.94
szi,2023-10-16,425.6
szi,2023-10-13,427.58
szi,2023-10-12,430.32
szi,2023-10-11,426.31
szi,2023-10-10,425.8
szi,2023-10-09,428.8
szi,2023-09-28,430.68
szi,2023-09-27,430.24
szi,2023-09-26,429.54
szi,2023-09-25,431.39
szi,2023-09-22,433.72
szi,2023-09-21,427.11
szi,2023-09-20,430.41
szi,2023-09-19,432.68
szi,2023-09-18,432.82
szi,2023-09-15,431.68
szi,2023-09-14,432.9
szi,2023-09-13,432.42
szi,2023-09-12,434.36
szi,2023-09-11,435.15
szi,2023-09-08,431.54
szi,2023-09-07,432.32
szi,2023-09-06,437.27
szi,2023-09-05,436.75
szi,2023-09-04,439.9
szi,2023-09-01,433.83
szi,2023-08-31,431.98
szi,2023-08-30,434.37
szi,2023-08-29,434.2
szi,2023-08-28,429.04
szi,2023-08-25,424.25
szi,2023-08-24,426.77
szi,2023-08-23,426.24
szi,2023-08-22,432.04
szi,2023-08-21,428.25
szi,2023-08-18,433.65
szi,2023-08-17,438.05
szi,2023-08-16,436.17
szi,2023-08-15,439.77
szi,2023-08-14,440.09
szi,2023-08-11,441.58
szi,2023-08-10,450.63
szi,2023-08-09,449.23
szi,2023-08-08,451.47
szi,2023-08-07,452.6
szi,2023-08-04,455.27
szi,2023-08-03,454.21
szi,2023-08-02,451.61
szi,2023-08-01,455.66
szi,2023-07-31,455.68
szi,2023-07-28,453.59
szi,2023-07-27,445.38
szi,2023-07-26,446.26
szi,2023-07-25,447.44
szi,2023-07-24,438.11
szi,2023-07-21,438.61
szi,2023-07-20,438.85
szi,2023-07-19,442.91
szi,2023-07-18,442.77
szi,2023-07-17,444.41
szi,2023-07-14,448.29
szi,2023-07-13,448.12
szi,2023-07-12,442.54
szi,2023-07-11,446.03
szi,2023-07-10,443.58
szi,2023-07-07,442.6
szi,2023-07-06,443.84
szi,2023-07-05,446.25
szi,2023-07-04,449.35
szi,2023-07-03,449.16
szi,2023-06-30,443.36
szi,2023-06-29,440.63
szi,2023-06-28,441.6
szi,2023-06-27,441.61
szi,2023-06-26,436.23
szi,2023-06-21,442.78
szi,2023-06-20,448.66
szi,2023-06-19,450.8
szi,2023-06-16,453.23
szi,2023-06-15,450.41
szi,2023-06-14,447.09
szi,2023-06-13,447.73
szi,2023-06-12,447.06
szi,2023-06-09,447.42
szi,2023-06-08,444.95
szi,2023-06-07,442.76
szi,2023-06-06,442.43
szi,2023-06-05,447.56
szi,2023-06-02,447.24
szi,2023-06-01,443.71
szi,2023-05-31,443.7
szi,2023-05-30,446.42
szi,2023-05-29,446.04
szi,2023-05-26,444.8
szi,2023-05-25,443.25
szi,2023-05-24,443.73
szi,2023-05-23,449.47
szi,2023-05-22,456.43
szi,2023-05-19,454.64
szi,2023-05-18,456.55
szi,2023-05-17,454.73
szi,2023-05-16,455.67
szi,2023-05-15,458.4
szi,2023-05-12,453.09
szi,2023-05-11,458.24
szi,2023-05-10,459.57
szi,2023-05-09,464.9
szi,2023-05-08,470.07
szi,2023-05-05,461.69
szi,2023-05-04,463.9
szi,2023-04-28,460.14
szi,2023-04-27,454.96
szi,2023-04-26,451.95
szi,2023-04-25,452.05
szi,2023-04-24,453.51
szi,2023-04-21,457.09
szi,2023-04-20,466.2
szi,2023-04-19,466.63
szi,2023-04-18,469.84
szi,2023-04-17,468.77
szi,2023-04-14,462.2
szi,2023-04-13,459.46
szi,2023-04-12,460.68
szi,2023-04-11,458.8
szi,2023-04-10,459.04
szi,2023-04-07,460.75
szi,2023-04-06,458.67
szi,2023-04-04,458.66
szi,2023-04-03,456.42
szi,2023-03-31,453.16
szi,2023-03-30,451.55
szi,2023-03-29,448.62
szi,2023-03-28,449.36
szi,2023-03-27,450.19
szi,2023-03-24,452.16
szi,2023-03-23,455.07
szi,2023-03-22,452.18
szi,2023-03-21,450.78
szi,2023-03-20,447.91
szi,2023-03-17,450.07
szi,2023-03-16,446.8
szi,2023-03-15,451.84
szi,2023-03-14,449.35
szi,2023-03-13,452.58
szi,2023-03-10,447.24
szi,2023-03-09,453.61
szi,2023-03-08,454.6
szi,2023-03-07,454.85
szi,2023-03-06,459.97
szi,2023-03-03,460.85
szi,2023-03-02,458.39
szi,2023-03-01,458.63
szi,2023-02-28,454.09
szi,2023-02-27,451.11
szi,2023-02-24,452.37
szi,2023-02-23,455.18
szi,2023-02-22,455.69
szi,2023-02-21,457.82
szi,2023-02-20,455.58
szi,2023-02-17,446.4
szi,2023-02-16,449.86
szi,2023-02-15,454.22
szi,2023-02-14,455.99
szi,2023-02-13,454.72
szi,2023-02-10,451.47
szi,2023-02-09,452.82
szi,2023-02-08,447.52
szi,2023-02-07,449.73
szi,2023-02-06,448.43
